;Comuna;AH;AMARILLOS;DEMOCRATAS;EVOPOLI;FA;FREVS;IGUALDAD;IND - CANDIDATURAS INDEPENDIENTES;PAVP;PCCH;PDC;PDG;PH;PL;POPULAR;PPD;PR;PS;PSC;PTR;REPUBLICANO;RN;UDI;Votos Blancos;Votos Nulos
0;CHILE CHICO;0.0;0.0;199.0;0.0;0.0;141.0;0.0;0;0.0;368.0;825.8;0.0;0.0;0.0;0.0;218.2;491.20000000000005;474.0;0.0;0.0;318.40000000000003;464.8;634.0;248;206
1;CURANILAHUE;0.0;36.800000000000004;719.0;0.0;720.6;286.0;0.0;0;0.0;7179.0;2077.0;288.0;0.0;0.0;0.0;2011.0;84.0;1553.0;570.4;0.0;4272.8;4335.4;4542.6;1527;2065
2;CALERA;0.0;0.0;380.8;0.0;2275.0;829.8;0.0;0;0.0;3200.0;3983.8;684.0;0.0;166.8;751.0;1203.8;1410.0;3838.0;1013.6;0.0;3052.0;4186.0;1379.2;3921;5215
3;MULCHEN;0.0;71.2;2011.0;314.0;1053.8;0.0;178.93333333333334;0;0.0;778.0;3595.8;1384.0;26.933333333333337;0.0;26.933333333333337;916.2;2117.8;454.4;379.8;0.0;4340.4;2561.8;1470.2;2620;2693
4;PROVIDENCIA;631.0;0.0;1046.0;11223.2;34168.0;1048.0;0.0;0;4859.0;9079.0;4702.0;1823.6000000000001;0.0;1632.0;0.0;6618.0;0.0;5922.0;2528.4;0.0;17772.2;13684.4;27581.0;7794;10181
5;QUINTA NORMAL;369.0;0.0;1226.0;3355.0;7736.2;1073.0;165.6;0;3023.4;5687.0;3333.2;1670.0;805.6;686.0;165.6;2312.0;3847.2000000000003;11761.4;1016.2;0.0;12191.8;9205.8;8318.8;7872;14249
6;NACIMIENTO;0.0;120.80000000000001;752.8;731.0;1799.2;0.0;146.2;313;0.0;330.0;2791.0;958.0;19.2;93.0;19.2;547.2;3242.6000000000004;706.0;1096.8;0.0;3260.2;837.4;3798.4;2307;1948
7;SAN JUAN DE LA COSTA;0.0;132.0;0.0;279.0;669.8;53.6;0.0;0;0.0;81.0;1509.0;360.8;0.0;53.6;0.0;114.0;271.2;1587.0;180.8;0.0;455.6;1455.8;983.6;588;727
8;PUCON;0.0;165.0;817.2;700.4;2888.8;324.6;0.0;621;0.0;1238.0;645.8;2142.4;0.0;464.6;0.0;789.8;956.6;489.0;786.6;0.0;3572.6000000000004;6597.0;1260.2;2634;2847
9;ERCILLA;0.0;0.0;314.0;472.0;291.2;739.0;0.0;630;0.0;0.0;170.4;0.0;0.0;135.0;0.0;382.0;493.20000000000005;682.0;83.2;0.0;563.8;1129.4;687.4;771;612
10;RECOLETA;570.0;0.0;6229.0;1948.0;5633.0;1595.0;202.13333333333333;0;3889.6000000000004;24149.0;4056.0;5294.0;1471.1333333333332;1143.0;202.13333333333333;2103.0;1609.6000000000001;5707.0;3810.8;0.0;11530.8;10978.4;8180.8;11384;18613
11;VIÑA DEL MAR;0.0;1569.2;2074.0;3980.0;27564.2;1881.2;1622.6666666666667;0;0.0;15403.6;8786.8;6456.0;1622.6666666666667;1472.2;3470.666666666667;7210.0;2325.2;7689.200000000001;7987.400000000001;0.0;43583.8;18765.800000000003;18950.6;24373;35625
12;PEÑAFLOR;439.0;0.0;1196.0;1040.0;4989.2;0.0;0.0;5859;2816.2;7756.4;7456.0;3557.0;0.0;581.0;0.0;758.0;4724.4;4542.0;740.0;0.0;7205.6;2108.8;11003.8;5908;7568
13;SAGRADA FAMILIA;0.0;117.8;634.6;661.0;1289.0;719.8;0.0;0;0.0;308.6;704.0;0.0;0.0;24.8;0.0;271.0;1738.8000000000002;903.4;1124.8000000000002;0.0;1681.6000000000001;2596.0;2981.0;1460;1163
14;SAN PEDRO DE LA PAZ;0.0;1840.2;2901.2;7716.4;6660.6;5518.4;0.0;0;0.0;4495.6;3231.0;1950.0;0.0;1234.4;0.0;3521.8;3034.2;5033.0;9009.2;0.0;14669.0;8273.4;5096.0;8580;13457
15;PRIMAVERA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;272;0.0;34.0;43.0;0.0;0.0;0.0;0.0;144.0;102.4;102.4;0.0;0.0;50.0;88.0;0.0;37;36
16;CAMARONES;11.200000000000001;0.0;156.8;0.0;28.4;86.4;50.400000000000006;0;0.0;46.0;213.6;22.8;62.400000000000006;88.4;51.400000000000006;152.4;156.8;36.0;85.80000000000001;0.0;56.4;94.0;236.0;126;105
17;CALLE LARGA;0.0;0.0;143.0;0.0;739.2;625.2;0.0;201;0.0;456.0;490.20000000000005;104.0;0.0;374.20000000000005;297.0;129.6;0.0;1923.0;217.0;0.0;774.2;2207.0;504.8;727;1097
18;O'HIGGINS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;218.0;0.0;0.0;0.0;0.0;9.0;0.0;96.6;0.0;0.0;0.0;219.8;148.6;13;7
19;COLLIPULLI;0.0;260.0;679.0;252.2;932.2;0.0;0.0;0;0.0;1503.0;227.60000000000002;0.0;0.0;0.0;0.0;1326.2;1062.8000000000002;2659.0;944.0;0.0;3319.2000000000003;3736.4;1733.6;1636;1800
