;Comuna;AH;AMARILLOS;DEMOCRATAS;EVOPOLI;FA;FREVS;IGUALDAD;IND - CANDIDATURAS INDEPENDIENTES;PAVP;PCCH;PDC;PDG;PH;PL;POPULAR;PPD;PR;PS;PSC;PTR;REPUBLICANO;RN;UDI;Votos Blancos;Votos Nulos
0;MACUL;1967.2;0.0;0.0;755.0;10351.0;4371.4;575.4666666666667;0;7149.0;11117.0;4832.0;0.0;575.4666666666667;2027.4;575.4666666666667;3468.0;1911.2;4985.0;0.0;0.0;15725.2;7623.0;6392.0;6946;12503
1;FLORIDA;0.0;660.8;577.4;808.0;244.0;103.8;176.0;135;0.0;206.2;284.0;1135.6;12.0;30.8;12.0;0.0;916.2;915.0;670.8;0.0;627.4;992.0;1321.0;1180;1145
2;YUMBEL;0.0;106.4;2407.6;670.0;1126.4;1880.0;114.73333333333333;0;0.0;525.0;1750.0;178.0;15.733333333333334;0.0;15.733333333333334;807.8;1311.8000000000002;1952.0;217.2;0.0;2348.0;3474.6000000000004;432.2;1836;1840
3;RANQUIL;0.0;32.0;0.0;413.0;0.0;109.0;0.0;0;403.20000000000005;0.0;805.6;78.0;0.0;8.0;0.0;728.8;741.0;224.0;124.6;0.0;137.0;600.2;1537.8;374;393
4;LAS CONDES;2516.0;0.0;4223.0;20573.4;17721.0;1126.0;0.0;0;5339.0;5202.0;5395.0;0.0;0.0;2594.0;0.0;2974.2;1386.8;5389.0;3549.6000000000004;0.0;61773.2;34133.4;35500.0;15096;17097
5;CONSTITUCION;162.6;168.2;846.0;1976.4;1569.0;517.0;0.0;0;0.0;2421.8;1564.4;1310.0;0.0;0.0;0.0;378.0;7557.6;1681.6;355.20000000000005;0.0;3453.8;2246.0;10129.6;3362;3972
6;RINCONADA;0.0;0.0;240.8;0.0;0.0;484.0;0.0;168;0.0;326.0;268.8;52.0;0.0;408.0;133.0;184.8;604.0;530.0;156.0;0.0;1101.6;2390.8;723.0;571;585
7;CUNCO;0.0;0.0;1422.6;248.6;975.0;461.6;0.0;0;0.0;458.0;725.8;266.0;0.0;25.6;0.0;875.0;1340.4;429.0;124.0;0.0;2612.0;3055.0;1909.8;1744;1580
8;COLCHANE;0.0;0.0;572.0;4.800000000000001;8.0;104.60000000000001;0.0;0;0.0;6.0;184.0;104.0;0.0;89.60000000000001;0.0;0.0;28.0;12.6;12.0;0.0;87.6;364.0;118.60000000000001;53;59
9;EL BOSQUE;1443.0;0.0;2857.0;1368.8000000000002;4290.0;2557.4;453.3333333333333;0;4046.4;7276.6;2892.0;2085.0;453.3333333333333;384.40000000000003;453.3333333333333;2022.4;2281.2;13809.8;3182.8;0.0;15399.0;9362.0;4247.4;12295;19226
