;Comuna;AH;AMARILLOS;DEMOCRATAS;EVOPOLI;FA;FREVS;IGUALDAD;IND - CANDIDATURAS INDEPENDIENTES;PAVP;PCCH;PDC;PDG;PH;PL;POPULAR;PPD;PR;PS;PSC;PTR;REPUBLICANO;RN;UDI;Votos Blancos;Votos Nulos
0;LO BARNECHEA;3239.0;0.0;391.0;10456.2;1392.0;412.0;0.0;0;1710.0;892.0;806.0;0.0;0.0;516.0;0.0;887.8;0.0;1134.0;1230.4;0.0;20461.0;16023.0;15513.0;4707;5973
1;TALCAHUANO;0.0;2626.0;3292.4;2225.0;7922.0;8610.2;3835.0;0;0.0;3692.0;3375.6;5835.4;0.0;3896.2;0.0;1374.6;5694.400000000001;6284.4;10179.2;0.0;16227.6;4946.4;9153.4;10851;19792
2;CONCEPCION;0.0;3316.4;3489.0;3735.0;11075.0;6017.0;13261.4;4888;0.0;11137.6;16192.0;3244.0;278.40000000000003;574.0;278.40000000000003;1393.0;4376.4;4035.0;19538.4;0.0;22829.6;9724.6;16027.4;15793;28136
3;CONTULMO;0.0;16.8;391.0;93.0;327.8;92.0;0.0;0;0.0;236.0;257.0;56.0;0.0;0.0;0.0;124.0;569.8;208.2;245.20000000000002;0.0;1247.6;591.4000000000001;521.4;531;284
4;GALVARINO;0.0;0.0;1170.0;89.2;2053.2;257.6;0.0;0;0.0;111.0;424.40000000000003;180.0;0.0;259.6;0.0;520.4;35.0;708.0;371.20000000000005;0.0;1376.0;2724.6000000000004;471.0;1362;845
5;HUALAIHUE;0.0;80.80000000000001;0.0;213.60000000000002;1140.4;0.0;0.0;0;0.0;0.0;1011.0;98.4;0.0;0.0;0.0;0.0;472.8;790.0;0.0;0.0;648.0;1833.0;3169.0;741;549
6;LONGAVI;0.0;0.0;228.8;0.0;1244.0;189.0;0.0;0;0.0;982.6;659.0;633.4;0.0;0.0;0.0;1998.4;2918.2000000000003;833.8;243.20000000000002;0.0;5631.6;2025.8000000000002;7631.2;2368;2125
7;SANTA CRUZ;0.0;213.0;1563.0;457.6;481.0;1842.2;0.0;0;733.6;3463.0;2445.0;456.0;0.0;157.20000000000002;0.0;0.0;631.4000000000001;2571.8;311.0;0.0;4228.8;5026.4;6778.4;3308;3158
8;EMPEDRADO;12.2;18.8;393.8;55.4;55.0;18.0;0.0;706;0.0;26.0;75.0;44.8;0.0;0.0;0.0;378.2;721.6;24.6;55.4;0.0;81.0;792.2;1208.2;360;258
9;PUDAHUEL;2041.0;0.0;7630.4;959.0;11169.0;4694.0;0.0;2509;5290.4;18180.0;4066.0;3391.0;8808.0;894.0;0.0;6542.0;5112.8;16122.0;4317.8;0.0;23785.4;12189.6;8346.0;16685;23707
10;SANTA JUANA;0.0;32.0;296.2;99.0;255.4;2083.6;0.0;0;0.0;228.2;629.0;259.0;0.0;29.6;0.0;432.4;282.0;471.0;2692.2000000000003;0.0;827.0;1359.2;2051.6;1572;1255
11;CABILDO;0.0;0.0;164.0;0.0;134.4;949.6;0.0;0;0.0;1890.8;1832.8;0.0;0.0;671.6;0.0;1559.8000000000002;722.4000000000001;247.0;0.0;0.0;2489.0;1714.8000000000002;0.0;1134;1470
12;SAN PEDRO DE LA PAZ;0.0;1752.6;2965.8;8031.0;6747.2;5385.6;0.0;0;0.0;4509.2;3251.0;2042.0;0.0;1169.6;0.0;3587.2;3067.6000000000004;4841.0;8917.6;0.0;15149.8;8150.0;5079.8;8613;13326
13;ANTOFAGASTA;2275.8;0.0;5288.400000000001;9340.4;13495.0;8751.0;0.0;0;0.0;14217.4;6587.0;13091.2;0.0;3836.0;0.0;4177.8;10123.0;7772.0;9600.4;0.0;26167.4;13932.6;9581.4;30214;45612
14;GENERAL LAGOS;0.0;0.0;56.0;0.0;5.0;13.600000000000001;1.0666666666666667;0;0.0;0.0;106.2;96.6;1.0666666666666667;13.600000000000001;1.0666666666666667;57.6;0.0;4.0;0.0;0.0;76.0;200.0;133.6;19;35
15;CANELA;249.60000000000002;0.0;470.40000000000003;0.0;145.6;0.0;0.0;0;0.0;2502.0;730.8;87.0;0.0;0.0;0.0;1145.0;0.0;61.6;0.0;0.0;317.0;329.6;892.2;585;352
16;PANQUEHUE;0.0;0.0;0.0;0.0;376.20000000000005;65.60000000000001;19.733333333333334;172;0.0;123.0;209.60000000000002;0.0;19.733333333333334;65.60000000000001;19.733333333333334;814.6;415.20000000000005;508.0;95.0;0.0;652.0;755.8;804.0;557;496
17;MARIA ELENA;0.0;0.0;0.0;0.0;49.2;216.4;0.0;0;0.0;58.400000000000006;64.8;208.0;0.0;166.4;0.0;32.0;114.4;294.6;0.0;0.0;28.8;940.0;560.4000000000001;250;346
18;OSORNO;0.0;2227.0;0.0;0.0;7131.2;3836.6000000000004;0.0;0;0.0;4614.0;13295.0;6311.6;0.0;3759.6000000000004;0.0;3899.0;3756.0;9321.0;8353.6;0.0;18229.2;11878.2;11388.4;11582;18056
19;HUALQUI;0.0;44.0;1828.8;185.8;1382.0;466.0;0.0;342;0.0;3780.2;1303.0;444.0;0.0;56.0;0.0;985.2;548.6;1327.0;1937.2;0.0;1912.4;1374.6000000000001;1370.6;1911;2305
