Distrito;AH;AMA;DEM;EVO;FA;FREVS;IGU;IND;PAVP;PCCH;PDC;PDG;PH;PL;POP;PPD;PR;PS;PSC;PTR;REP;RN;UDI;Votos Blancos;Votos Nulos
1;0.021126261;0;0.050150345;0.00251851;0.024272311;0.0300134;0.00507598;0;0;0.04747182;0.038587464;0.048589148;0.039110646;0.034069452;0.010119956;0.015386563;0.030664594;0.042832753;0.02345136;0;0.147657021;0.078602547;0.052472662;0.101248262;0.156578946
2;0.029125055;0;0.039108864;0.007392467;0.03732349;0.035576885;0.003675489;0.000550915;0;0.029565787;0.057802236;0.056996267;0.005894453;0.018156739;0.009975307;0.03354768;0.042954049;0.029282168;0.037812173;0;0.116809344;0.091200965;0.0588755;0.106464379;0.151909789
3;0.011197722;0;0.032936352;0.034737881;0.04128614;0.060158012;0.002365956;0;0;0.051442688;0.043908686;0.055313492;0.00216201;0.018171131;0.001309617;0.020979844;0.045091054;0.037601503;0.040432179;0;0.097582761;0.064175762;0.039654044;0.117062811;0.182430355
4;0;0.022367196;0.010916279;0;0.039251014;0.087426037;0.015351329;0.000736542;0;0.07645104;0.019671348;0.026051968;0.0059514;0.01450834;0.013059291;0.036847722;0.047709405;0.080470604;0.025363842;0;0.078629763;0.109172065;0.053866487;0.102013697;0.134184632
5;0.008151;0.012528144;0.030487308;0.011597286;0.050237024;0.020612271;0.001779943;0.006703396;0;0.075763211;0.062396472;0.039002712;0.001779943;0.011140976;0.001779943;0.027385758;0.030860295;0.059917163;0.027719408;0;0.082057501;0.085525958;0.09461783;0.117210186;0.140746274
6;0;0.008488409;0.012834931;0.004782214;0.062517902;0.026280956;0.005791615;0.013621707;0;0.059195116;0.046879642;0.0158443;0.005791615;0.017070984;0.01320541;0.038456165;0.041129067;0.052437108;0.023119798;0;0.134046482;0.127790785;0.057433514;0.093038566;0.140243712
7;0;0.003972563;0.007405218;0.017617478;0.106385425;0.011975621;0.005937791;0.001070558;0;0.062897465;0.043716405;0.032252622;0.005937791;0.011194725;0.017709453;0.029386751;0.032253816;0.033905194;0.025004778;0;0.15184369;0.081187737;0.068755524;0.094810853;0.154778542
8;0.004936305;0;0.019667429;0.014519466;0.137430793;0.017567585;0.003126149;0.002233175;0.031015946;0.071385772;0.039819587;0.031374287;0.021223857;0.027083279;0.003126149;0.021759261;0.025751385;0.036752598;0.011736942;0;0.136117768;0.076131069;0.055893286;0.084743168;0.126604744
9;0.005049973;0;0.029205834;0.01475645;0.073330026;0.019712044;0.001050671;0;0.027423256;0.099208381;0.029437662;0.032436541;0.017089886;0.007400158;0.001050671;0.042564403;0.026681246;0.052604797;0.02398199;0;0.098662575;0.090234875;0.063577024;0.091541567;0.152999969
10;0.008563442;0;0.012173112;0.029787817;0.162882814;0.019907972;0.00217642;0.002964605;0.036587773;0.099070371;0.034757274;0.01330783;0.008621967;0.015682569;0.00217642;0.022847321;0.013059947;0.047485626;0.012655229;0;0.110486597;0.095787612;0.077276906;0.067141031;0.104599344
11;0.023008064;0;0.010433995;0.08320178;0.073323367;0.011397336;0.002058795;0.004311762;0.025624686;0.027287334;0.031360529;0.002439819;0.007800493;0.007243643;0.002058795;0.022167373;0.009549981;0.031460054;0.014537926;0;0.19241288;0.134946726;0.126999386;0.066779617;0.089595657
12;0.014938224;0;0.025216165;0.017925044;0.059447277;0.01705695;0.003474208;0.0107928;0.044456857;0.098192615;0.024592566;0.02355827;0.035946468;0.016492643;0.003474208;0.0251104;0.018650746;0.041048352;0.032238067;0;0.093844132;0.116822986;0.042752261;0.093291501;0.14067726
13;0.012158159;0;0.025715107;0.016310581;0.090066018;0.025899741;0.003273194;0.009996093;0.031050295;0.101052489;0.030887817;0.006916395;0.011973156;0.007840674;0.003273194;0.020569353;0.032818721;0.081391536;0.025974333;0;0.099342776;0.090351093;0.045703231;0.089239226;0.138196819
14;0.004306154;0;0.010549666;0.019882781;0.070381702;0.019903469;0;0.012544349;0.028476147;0.05395466;0.037683146;0.029615931;0.010704944;0.013102901;0;0.027954982;0.033526039;0.08140717;0.023076319;0;0.130057213;0.064282501;0.115863131;0.090518461;0.122208334
15;0;0.003568436;0.018695433;0.004142153;0.056785339;0.030055431;0;0.00353792;0.025375774;0.04681691;0.04006048;0.029010941;0;0.00449859;0;0.082508192;0.058309147;0.060200785;0.015719024;0;0.133116515;0.098994612;0.083482289;0.079909377;0.125212652
16;0;0.006206944;0.033409373;0.016112791;0.054583715;0.037619585;0;0.017112672;0.008429519;0.035795143;0.068490098;0.01529884;0;0.006284246;0;0.023516156;0.070252901;0.087097288;0.010101883;0;0.095258522;0.114231509;0.138265037;0.079268;0.082665777
17;0.00647026;0.010951867;0.034358466;0.041543912;0.038824696;0.028603707;0;0.003489635;0.006805729;0.03747717;0.063297014;0.021702264;0;0.001267189;0;0.0270908;0.089738215;0.046221027;0.025681138;0;0.090970884;0.114748414;0.108016745;0.088014423;0.114726447
18;0;0.006018078;0.018543505;0.014515605;0.053979153;0.008858611;0;0.008076261;0.001697098;0.045393763;0.055432519;0.010035747;0;0;0;0.066670679;0.045432279;0.043034074;0.024235403;0;0.107154291;0.187900654;0.146789957;0.070820746;0.085411576
19;0;0.014213037;0.020033237;0.025312974;0.028918235;0.011922381;0;0.012876241;0.017069395;0.039325405;0.049052428;0.022636335;0;0.013515048;0;0.044410193;0.082880953;0.070841951;0.030608813;0;0.091896062;0.093837289;0.14700585;0.085934437;0.097709735
20;0;0.011905329;0.030397925;0.022532793;0.049912236;0.048570634;0.026590388;0.009263495;0;0.051016447;0.057558257;0.031707538;0.000434213;0.010593071;0.000434213;0.026278117;0.038261614;0.046989719;0.086407736;0;0.113018007;0.050073863;0.075469043;0.081201996;0.131383369
21;0;0.004442166;0.064196872;0.012299679;0.036312728;0.009806566;0.010432702;0.006488188;0;0.043002817;0.072966229;0.034147228;0.00059566;0.007839504;0.00059566;0.024687668;0.073569854;0.052002819;0.036426665;0;0.119513914;0.114053239;0.102611033;0.080182023;0.093826784
22;0;0.020595633;0.043614324;0.053453514;0.047134254;0.00814667;0;0.009041206;0;0.011266898;0.062967546;0.014623539;0;0.018515482;0;0.079328331;0.048288631;0.044197903;0.042522422;0;0.098514715;0.140276781;0.078668788;0.088243166;0.090600198
23;0;0.031095811;0.022171867;0.021500518;0.059345126;0.028863221;0;0.019580496;0;0.025704155;0.041369194;0.026052987;0;0.017411447;0;0.050201357;0.046752827;0.038559281;0.037971369;0;0.116983317;0.132514856;0.093470034;0.088774116;0.101678021
24;0;0.015529465;0;0.0216764;0.073790015;0.016212815;0;0.003250602;0;0.039404376;0.058846891;0.009692852;0;0;0;0.078678514;0.033520062;0.142681348;0.012531836;0;0.116620788;0.129479561;0.072798487;0.077971581;0.097314407
25;0;0.018106444;0;0.01353971;0.054528692;0.0166023;0;0.031790354;0;0.023651203;0.095757204;0.039350895;0;0.019495348;0;0.031624433;0.026615447;0.078433904;0.033261917;0;0.118305488;0.099434;0.100114576;0.091265285;0.1081228
26;0;0.021389693;0;0.007826048;0.06184957;0.025370499;0;0.004260886;0;0.027881843;0.053630898;0.02134962;0;0.027461509;0;0.035655882;0.026725712;0.077603127;0.019742036;0;0.103983535;0.123988599;0.156276271;0.102382771;0.1026215
