Distrito;p1;p10;p11;p12;p13;p14;p2;p3;p4;p5;p6;p7;p8;p9
1;1;0;0;0;1;0;1;0;0;0;0;0;0;0
2;1;0;0;0;1;0;1;0;0;0;0;0;0;0
3;1;0;0;0;1;0;1;1;0;0;0;0;1;0
4;1;0;0;0;1;0;1;0;1;0;0;0;1;0
5;1;0;0;0;1;0;2;2;1;0;0;0;0;0
6;2;0;0;0;2;0;2;0;2;0;0;0;0;0
7;3;0;0;0;2;0;1;1;1;0;0;0;0;0
8;3;0;0;0;2;0;1;1;1;0;0;0;0;0
9;2;0;0;0;1;0;2;1;1;0;0;0;0;0
10;4;0;0;0;1;0;1;1;1;0;0;0;0;0
11;1;0;0;0;2;0;0;2;1;0;0;0;0;0
12;2;0;0;0;1;0;1;1;2;0;0;0;0;0
13;2;0;0;0;1;0;1;0;1;0;0;0;0;0
14;1;0;0;0;1;0;2;2;0;0;0;0;0;0
15;1;0;0;0;1;0;2;0;1;0;0;0;0;0
16;0;0;0;0;1;0;1;1;1;0;0;0;0;0
17;1;0;0;0;1;0;1;2;1;0;0;1;0;0
18;0;0;0;0;1;0;1;1;1;0;0;0;0;0
19;0;0;0;0;1;0;1;2;1;0;0;0;0;0
20;1;0;0;0;2;0;2;1;0;0;1;0;1;0
21;1;0;0;0;1;0;1;1;1;0;0;0;0;0
22;0;0;0;0;1;0;1;1;1;0;0;0;0;0
23;1;0;0;0;1;0;2;1;2;0;0;0;0;0
24;1;0;0;0;1;0;2;0;1;0;0;0;0;0
25;0;0;0;0;1;0;2;1;0;0;0;0;0;0
26;0;0;0;0;1;0;1;2;1;0;0;0;0;0
27;0;0;0;0;0;0;1;1;1;0;0;0;0;0
28;1;0;0;0;0;0;2;0;0;0;0;0;0;0
