;Comuna;AH;AMARILLOS;DEMOCRATAS;EVOPOLI;FA;FREVS;IGUALDAD;IND - CANDIDATURAS INDEPENDIENTES;PAVP;PCCH;PDC;PDG;PH;PL;POPULAR;PPD;PR;PS;PSC;PTR;REPUBLICANO;RN;UDI;Votos Blancos;Votos Nulos
0;HUALAIHUE;0.0;80.0;0.0;222.4;1094.4;0.0;0.0;0;0.0;0.0;997.0;94.4;0.0;0.0;0.0;0.0;462.4;803.0;0.0;0.0;586.4;1794.2;4024.0;699;533
1;PETORCA;0.0;0.0;113.0;0.0;239.4;730.2;0.0;0;0.0;738.0;696.8;0.0;0.0;477.20000000000005;0.0;613.0;424.8;439.0;0.0;0.0;684.6;1082.8000000000002;47.0;685;777
2;LA HIGUERA;102.6;35.400000000000006;171.8;27.4;152.8;17.200000000000003;26.933333333333337;96;0.0;288.8;193.2;60.400000000000006;26.933333333333337;11.200000000000001;26.933333333333337;60.0;10.0;633.2;35.2;0.0;115.0;366.0;1567.8;457;362
3;COINCO;0.0;0.0;85.6;0.0;921.8;61.4;0.0;0;0.0;158.0;301.2;251.0;0.0;8.4;0.0;1321.8;318.0;959.2;0.0;0.0;1167.6;1113.6;1290.6;706;694
4;SAN VICENTE;0.0;0.0;3888.2;0.0;2480.2;1009.8;0.0;0;0.0;545.8;6508.4;812.0;0.0;88.80000000000001;0.0;1322.8;3146.0;2563.0;0.0;0.0;5705.0;5563.4;4891.4;4126;4666
5;QUILICURA;990.0;0.0;3181.4;2298.0;11113.0;7776.6;0.0;0;7577.6;11349.0;5719.0;7336.6;5247.0;5497.6;0.0;4200.0;5970.200000000001;2180.0;3716.4;0.0;16874.0;10582.6;5670.0;12709;21980
6;RIO CLARO;55.8;507.6;416.6;962.0;135.0;58.0;0.0;0;0.0;225.6;193.4;157.0;0.0;0.0;0.0;67.0;1279.6000000000001;333.2;369.4;0.0;1275.2;4250.8;951.6;1169;1160
7;EL QUISCO;0.0;0.0;114.0;0.0;1331.4;0.0;65.33333333333333;282;0.0;2232.0;586.6;260.0;65.33333333333333;0.0;164.33333333333331;275.0;967.0;672.4000000000001;135.0;0.0;1615.0;1321.0;2015.8000000000002;960;1558
8;SAAVEDRA;0.0;909.0;167.4;73.8;1706.6;282.4;0.0;153;0.0;530.0;283.8;129.0;0.0;16.400000000000002;0.0;596.6;1207.2;508.0;441.6;0.0;172.0;1532.0;2168.8;1396;880
9;TALAGANTE;0.0;0.0;0.0;2473.2;6360.2;0.0;0.0;0;2180.2;3502.4;1828.0;875.0;0.0;1003.0;0.0;145.0;2383.4;11520.0;1716.4;0.0;9617.8;1280.0;8473.8;4823;8028
