;Comuna;AH;AMARILLOS;DEMOCRATAS;EVOPOLI;FA;FREVS;IGUALDAD;IND - CANDIDATURAS INDEPENDIENTES;PAVP;PCCH;PDC;PDG;PH;PL;POPULAR;PPD;PR;PS;PSC;PTR;REPUBLICANO;RN;UDI;Votos Blancos;Votos Nulos
0;COLCHANE;0.0;0.0;568.0;4.800000000000001;8.0;105.4;0.0;0;0.0;6.0;190.4;104.0;0.0;90.4;0.0;0.0;28.8;11.6;12.0;0.0;93.0;364.0;117.2;51;58
1;MALLOA;0.0;0.0;405.2;0.0;154.0;73.0;0.0;0;0.0;475.4;619.8;314.0;0.0;12.0;0.0;1264.2;101.60000000000001;666.6;0.0;0.0;1124.2;2915.0;3978.2;1409;1403
2;LOS ANGELES;0.0;867.6;12564.8;1689.0;3721.2;620.0;4403.0;0;0.0;4314.0;12680.6;9086.4;172.0;2640.0;172.0;3735.8;12766.2;4085.6;7276.0;0.0;22709.2;14588.4;17301.8;16187;21401
3;LA FLORIDA;6201.2;0.0;2977.0;6598.8;14108.0;4935.6;1490.1333333333334;0;11072.4;27387.0;9694.0;0.0;3879.133333333333;2176.6;1490.1333333333334;10228.4;4773.4;11029.0;5543.200000000001;0.0;32210.2;41936.2;16155.0;25595;41778
4;CALBUCO;0.0;2651.0;0.0;258.4;771.2;620.6;0.0;0;0.0;1206.0;1137.0;494.0;0.0;846.6;0.0;676.0;1917.8000000000002;2735.6;0.0;0.0;4271.6;3785.0;2432.8;4704;3505
5;PUCON;0.0;163.0;816.6;738.6;2756.4;320.2;0.0;602;0.0;1269.0;646.8;2183.4;0.0;450.2;0.0;727.4;982.6;493.0;780.0;0.0;3494.4;6194.2;1194.8;2598;2750
6;RENAICO;0.0;0.0;479.0;267.4;807.4;0.0;0.0;0;0.0;0.0;601.2;0.0;0.0;400.0;0.0;728.0;866.6;103.0;157.60000000000002;0.0;1362.0;1606.2;887.4;1033;1051
7;LAGO RANCO;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;232.0;1108.0;0.0;0.0;0.0;0.0;650.0;0.0;1176.0;0.0;0.0;1121.8;2323.6000000000004;1806.4;709;755
8;LANCO;0.0;0.0;0.0;1601.0;170.8;38.0;0.0;0;0.0;174.0;1544.0;125.0;0.0;0.0;0.0;935.6;946.2;1810.0;0.0;0.0;1942.6000000000001;2154.4;1208.0;1447;1508
9;SAN CARLOS;0.0;332.0;651.2;5128.0;995.0;336.8;0.0;1217;0.0;5998.0;0.0;299.0;0.0;336.8;0.0;842.0;2944.4;3632.0;0.0;0.0;4999.0;6209.6;7201.8;3589;4924
