Circunscripcion;p1;p10;p11;p12;p13;p14;p2;p3;p4;p5;p6;p7;p8;p9
1;0;0;0;0;0;1;1;0;0;0;0;0;0;0
2;1;0;0;0;0;1;1;0;0;0;0;0;0;0
3;1;0;0;0;0;0;1;0;0;0;0;0;0;0
4;1;0;0;0;0;0;1;0;1;0;0;0;0;0
5;1;0;0;0;0;1;1;1;1;0;0;0;0;0
6;0;0;0;0;0;1;1;1;0;0;0;0;0;0
7;1;0;0;0;0;1;1;1;1;0;0;0;0;0
8;0;0;0;0;0;1;1;1;0;0;0;0;0;0
9;1;0;0;0;0;1;1;1;1;0;0;0;0;0
10;0;0;0;0;0;1;1;0;1;0;0;0;0;0
11;0;0;0;0;0;0;1;1;0;0;0;0;0;0
12;1;0;0;0;0;0;1;0;0;0;0;0;0;0
13;1;0;0;0;0;1;1;1;1;0;0;0;0;0
14;0;0;0;0;0;1;1;0;1;0;0;0;0;0
15;0;0;0;0;0;1;1;0;0;0;0;0;0;0
16;0;0;0;0;0;0;1;1;0;0;0;0;0;0
