Circunscripcion;AH;AMA;DEM;EVO;FA;FREVS;IGU;IND;PAVP;PCCH;PDC;PDG;PH;PL;POP;PPD;PR;PS;PSC;PTR;REP;RN;UDI;Votos Blancos;Votos Nulos
1;0.029492122;0;0.038370274;0.007700386;0.036962874;0.035904517;0.003712243;0.000561327;0;0.026448708;0.056262317;0.057424775;0.005845285;0.018447247;0.00997359;0.034214413;0.043096647;0.026841637;0.037715052;0;0.121981464;0.091851471;0.05887606;0.108846412;0.149471179
2;0.011933912;0;0.034290098;0.036409073;0.040998132;0.051359296;0.002377884;0;0;0.052003619;0.04397692;0.056756707;0.00220099;0.012571267;0.001340642;0.020125713;0.046313529;0.038709767;0.038379029;0;0.101381703;0.061567688;0.040977227;0.124662025;0.181664776
3;0;0.022323885;0.010961645;0;0.03941732;0.087931659;0.015235348;0.000686587;0;0.075657755;0.019452609;0.027251825;0.006072251;0.014518475;0.013000068;0.036495454;0.048074511;0.082266542;0.026145026;0;0.079563558;0.107729111;0.054669876;0.100040369;0.132506125
4;0.008837202;0.013003439;0.029316561;0.012391456;0.048881841;0.022119726;0.00185265;0.006850947;0;0.074657879;0.060643128;0.041295697;0.00185265;0.012129071;0.00185265;0.029622367;0.033264948;0.059224693;0.029496556;0;0.088958767;0.09104671;0.061780623;0.123378281;0.147542158
5;0;0.006486903;0.010441972;0.010727601;0.075344176;0.01998332;0.006085683;0.007844385;0;0.061068229;0.046696924;0.024516491;0.006085683;0.014746045;0.016016499;0.033914876;0.036716123;0.041651406;0.024874271;0;0.1371598;0.106269617;0.064773075;0.096271857;0.152325065
6;0;0.004726335;0.026360824;0.009907799;0.0558053;0.033050031;0;0.009747124;0.018866621;0.044571763;0.054940719;0.023737401;0;0.005386422;0;0.040499023;0.063749068;0.074840711;0.013509644;0;0.119366799;0.102565529;0.102845608;0.082573491;0.112949787
7;0.004172541;0.009333575;0.028624668;0.032152028;0.043984467;0.02194151;0;0.005003296;0.005068659;0.039371702;0.061016293;0.017774743;0;0.000810755;0;0.040684952;0.07465396;0.045000591;0.024689663;0;0.096292983;0.140323226;0.121224718;0.082100242;0.10577543
8;0;0.009070028;0.04295033;0.018479222;0.043808763;0.032906605;0.020465087;0.008095177;0;0.048370216;0.064069832;0.03312748;0.00052503;0.009415678;0.00052503;0.026173999;0.053375293;0.049824711;0.067203012;0;0.114026089;0.073919337;0.084178463;0.081992758;0.117497859
9;0;0.026399249;0.029325182;0.032077537;0.053475611;0.022655214;0;0.016837295;0;0.021980138;0.048912795;0.022984039;0;0.01799667;0;0.058182133;0.048732654;0.040948121;0.04044436;0;0.106835806;0.131344707;0.08697255;0.091207673;0.102688264
10;0;0.020746306;0;0.010736337;0.058270382;0.02232695;0;0.016501539;0;0.027072757;0.07469621;0.029741789;0;0.02435282;0;0.035278306;0.027824706;0.081851098;0.026434763;0;0.11629735;0.113059834;0.100998154;0.102821954;0.110988744
11;0;0;0.025873496;0.022394607;0;0.021793172;0;0;0;0.061735529;0.091977094;0;0;0;0;0.056615077;0.063910129;0.082483856;0.020326143;0;0.078137014;0.152429561;0.153957914;0.080297463;0.088068946
12;0;0;0;0.033436156;0.077490199;0;0;0.00706471;0;0.059413465;0.065028051;0.017749526;0;0;0;0.044656402;0.082639257;0.100997091;0.028303458;0;0.100134453;0.085927693;0.052802384;0.106982015;0.137375141
13;0.010009488;0;0.019071505;0.027841399;0.08945361;0.019074219;0.002296365;0.005978694;0.033853163;0.076410903;0.033713815;0.021800495;0.01532993;0.015010035;0.002296365;0.026261187;0.023235574;0.052216252;0.020518441;0;0.124168178;0.093413587;0.073968536;0.085111803;0.128966454
14;0;0.016540157;0;0.023485386;0.076254669;0.017262854;0;0.003353765;0;0.041970613;0.063377117;0.010529917;0;0;0;0.083298704;0.035875683;0.094074225;0.013452322;0;0.123002986;0.139550483;0.071679096;0.083471474;0.10282055
15;0.020762529;0;0.052794312;0.002592877;0.023508747;0.029893357;0.004998025;0;0;0.047300481;0.038865268;0.050714435;0.039520922;0.034033596;0.009925885;0.015695267;0.030262773;0.042696034;0.022875863;0;0.149302293;0.078909877;0.052674427;0.09861295;0.154060082
16;0;0.014190465;0.019918171;0.025116736;0.029529871;0.012039906;0;0.012977888;0.0175074;0.038783291;0.049467656;0.022804906;0;0.013598124;0;0.043662367;0.083377973;0.071588254;0.029990145;0;0.093306112;0.093854866;0.145324887;0.087316888;0.095644093
