;Comuna;AH;AMARILLOS;DEMOCRATAS;EVOPOLI;FA;FREVS;IGUALDAD;IND - CANDIDATURAS INDEPENDIENTES;PAVP;PCCH;PDC;PDG;PH;PL;POPULAR;PPD;PR;PS;PSC;PTR;REPUBLICANO;RN;UDI;Votos Blancos;Votos Nulos
0;ARAUCO;0.0;349.6;1024.8;0.0;2960.0;1065.0;0.0;1775;0.0;1225.0;1014.0;1279.2;0.0;237.0;0.0;633.0;2384.4;2618.4;658.8;0.0;3427.2;3936.0;3720.4;2671;2792
1;COINCO;0.0;0.0;87.6;0.0;977.6;59.4;0.0;0;0.0;172.0;315.6;252.0;0.0;8.4;0.0;641.8;334.20000000000005;991.2;0.0;0.0;1171.0;1020.4000000000001;1229.4;747;735
2;SAN CARLOS;0.0;309.6;659.2;5126.0;1008.0;344.0;0.0;1247;0.0;6198.0;0.0;301.0;0.0;344.0;0.0;883.4000000000001;2913.0;3670.0;0.0;0.0;4949.0;6336.6;7120.6;3642;4971
3;LOS VILOS;0.0;0.0;296.20000000000005;0.0;1759.0;0.0;0.0;0;0.0;2663.6;1484.4;240.0;0.0;0.0;0.0;720.0;707.8000000000001;1043.2;0.0;0.0;859.0;2280.0;659.8;1319;1530
4;QUINTA DE TILCOCO;0.0;0.0;207.4;0.0;1095.2;69.8;0.0;0;0.0;391.4;1390.8;268.0;0.0;10.8;0.0;1329.6;1922.2;340.0;0.0;0.0;757.6;1890.2;1296.8;1462;1258
5;SAN FERNANDO;0.0;78.0;2793.4;1613.6;2123.0;3968.8;0.0;3104;1927.2;3938.0;2403.0;832.0;0.0;978.8000000000001;0.0;648.0;2824.2;5096.2;1918.2;0.0;5978.2;5492.8;5586.0;5634;9234
6;CISNES;0.0;0.0;0.0;92.0;0.0;0.0;0.0;0;0.0;168.2;728.0;0.0;0.0;0.0;0.0;126.4;198.20000000000002;589.4;0.0;0.0;406.2;1274.6;275.2;243;200
7;QUELLON;0.0;268.0;0.0;0.0;413.0;743.8;0.0;0;0.0;1576.2;1298.0;629.8;0.0;820.8;0.0;1782.0;0.0;1756.0;1119.2;0.0;2141.6000000000004;3748.0;3925.2000000000003;2203;1737
8;LA UNION;0.0;0.0;0.0;1016.0;2077.0;0.0;0.0;0;0.0;0.0;2705.0;0.0;0.0;0.0;0.0;5807.0;1996.8000000000002;2278.8;0.0;0.0;5848.4;4838.6;2594.2;2449;3263
9;VILLARRICA;0.0;1822.0;598.6;640.2;3458.2;447.6;0.0;2802;0.0;3497.0;1956.0;1047.0;0.0;440.6;0.0;2807.0;3259.4;856.0;1493.0;0.0;5145.6;8125.200000000001;6186.0;5763;6305
10;MACUL;1904.0;0.0;0.0;741.0;6591.0;4282.6;605.0666666666667;0;7281.0;10258.0;5252.0;0.0;605.0666666666667;2007.6;605.0666666666667;3326.8;1986.4;5096.0;0.0;0.0;16652.8;7959.2;6219.0;7315;12555
11;RINCONADA;0.0;0.0;242.0;0.0;0.0;491.0;0.0;174;0.0;324.0;272.2;51.0;0.0;416.0;147.0;191.20000000000002;626.6;484.2;151.0;0.0;1000.4;2369.0;723.8000000000001;583;615
12;FREIRINA;0.0;0.0;272.0;0.0;117.0;338.0;0.0;0;0.0;475.8;806.0;0.0;0.0;94.0;52.0;23.200000000000003;67.2;599.0;0.0;0.0;126.0;590.2;775.6;392;491
13;CURACAVI;136.8;0.0;172.0;366.40000000000003;1982.4;492.20000000000005;0.0;666;201.0;975.2;704.6;0.0;0.0;227.20000000000002;0.0;2043.0;467.8;1024.0;312.0;0.0;2735.0;3614.0;2971.4;2391;2649
14;SAGRADA FAMILIA;0.0;114.4;651.6;663.0;1359.8000000000002;711.4;0.0;0;0.0;311.6;727.0;0.0;0.0;22.400000000000002;0.0;287.0;1691.0;915.4;1142.6000000000001;0.0;1687.6000000000001;2522.8;2988.0;1429;1151
15;YERBAS BUENAS;0.0;0.0;461.20000000000005;236.0;342.0;106.0;0.0;0;0.0;588.8;1689.0;165.0;0.0;0.0;0.0;1997.8;609.6;968.0;414.40000000000003;0.0;1687.8000000000002;2093.0;4501.8;1284;1573
