comuna,partido,votos,region
ALGARROBO,IND - CANDIDATURAS INDEPENDIENTES,640,DE VALPARAISO
ALGARROBO,IND - DEMOCRATAS,573,DE VALPARAISO
ALGARROBO,IND - FA,904,DE VALPARAISO
ALGARROBO,IND - PCCH,130,DE VALPARAISO
ALGARROBO,IND - PDC,2431,DE VALPARAISO
ALGARROBO,IND - PPD,274,DE VALPARAISO
ALGARROBO,IND - REPUBLICANO,932,DE VALPARAISO
ALGARROBO,IND - RN,936,DE VALPARAISO
ALGARROBO,IND - UDI,2460,DE VALPARAISO
ALGARROBO,PCCH,589,DE VALPARAISO
ALGARROBO,PR,233,DE VALPARAISO
ALGARROBO,PS,395,DE VALPARAISO
ALGARROBO,REPUBLICANO,1418,DE VALPARAISO
ALGARROBO,RN,1269,DE VALPARAISO
ALGARROBO,Votos Blancos,783,DE VALPARAISO
ALGARROBO,Votos Nulos,1472,DE VALPARAISO
ALHUE,EVOPOLI,196,METROPOLITANA DE SANTIAGO
ALHUE,IND - EVOPOLI,98,METROPOLITANA DE SANTIAGO
ALHUE,IND - PCCH,454,METROPOLITANA DE SANTIAGO
ALHUE,IND - PR,540,METROPOLITANA DE SANTIAGO
ALHUE,IND - REPUBLICANO,162,METROPOLITANA DE SANTIAGO
ALHUE,IND - RN,20,METROPOLITANA DE SANTIAGO
ALHUE,IND - UDI,1018,METROPOLITANA DE SANTIAGO
ALHUE,PAVP,42,METROPOLITANA DE SANTIAGO
ALHUE,PCCH,117,METROPOLITANA DE SANTIAGO
ALHUE,PDC,935,METROPOLITANA DE SANTIAGO
ALHUE,PPD,537,METROPOLITANA DE SANTIAGO
ALHUE,PS,1033,METROPOLITANA DE SANTIAGO
ALHUE,REPUBLICANO,126,METROPOLITANA DE SANTIAGO
ALHUE,RN,68,METROPOLITANA DE SANTIAGO
ALHUE,Votos Blancos,210,METROPOLITANA DE SANTIAGO
ALHUE,Votos Nulos,283,METROPOLITANA DE SANTIAGO
ALTO BIOBIO,AMARILLOS,337,DEL BIOBIO
ALTO BIOBIO,DEMOCRATAS,102,DEL BIOBIO
ALTO BIOBIO,EVOPOLI,245,DEL BIOBIO
ALTO BIOBIO,FA,213,DEL BIOBIO
ALTO BIOBIO,FREVS,455,DEL BIOBIO
ALTO BIOBIO,IND - PDG,439,DEL BIOBIO
ALTO BIOBIO,IND - PR,1093,DEL BIOBIO
ALTO BIOBIO,IND - PSC,1103,DEL BIOBIO
ALTO BIOBIO,IND - REPUBLICANO,643,DEL BIOBIO
ALTO BIOBIO,IND - RN,345,DEL BIOBIO
ALTO BIOBIO,PCCH,114,DEL BIOBIO
ALTO BIOBIO,PDC,109,DEL BIOBIO
ALTO BIOBIO,PDG,188,DEL BIOBIO
ALTO BIOBIO,PL,251,DEL BIOBIO
ALTO BIOBIO,PPD,467,DEL BIOBIO
ALTO BIOBIO,PS,175,DEL BIOBIO
ALTO BIOBIO,PSC,183,DEL BIOBIO
ALTO BIOBIO,RN,270,DEL BIOBIO
ALTO BIOBIO,UDI,435,DEL BIOBIO
ALTO BIOBIO,Votos Blancos,361,DEL BIOBIO
ALTO BIOBIO,Votos Nulos,254,DEL BIOBIO
ALTO DEL CARMEN,FREVS,90,DE ATACAMA
ALTO DEL CARMEN,IND - FA,850,DE ATACAMA
ALTO DEL CARMEN,IND - FREVS/PL,272,DE ATACAMA
ALTO DEL CARMEN,IND - PDC,55,DE ATACAMA
ALTO DEL CARMEN,IND - PR,582,DE ATACAMA
ALTO DEL CARMEN,IND - PS,281,DE ATACAMA
ALTO DEL CARMEN,IND - REPUBLICANO,54,DE ATACAMA
ALTO DEL CARMEN,IND - RN,127,DE ATACAMA
ALTO DEL CARMEN,IND - UDI,164,DE ATACAMA
ALTO DEL CARMEN,PDC,76,DE ATACAMA
ALTO DEL CARMEN,PDG,482,DE ATACAMA
ALTO DEL CARMEN,REPUBLICANO,185,DE ATACAMA
ALTO DEL CARMEN,RN,599,DE ATACAMA
ALTO DEL CARMEN,UDI,32,DE ATACAMA
ALTO DEL CARMEN,Votos Blancos,186,DE ATACAMA
ALTO DEL CARMEN,Votos Nulos,233,DE ATACAMA
ALTO HOSPICIO,DEMOCRATAS,768,DE TARAPACA
ALTO HOSPICIO,EVOPOLI,529,DE TARAPACA
ALTO HOSPICIO,FA,1568,DE TARAPACA
ALTO HOSPICIO,IND - AH,1687,DE TARAPACA
ALTO HOSPICIO,IND - DEMOCRATAS,897,DE TARAPACA
ALTO HOSPICIO,IND - FREVS/PL,2841,DE TARAPACA
ALTO HOSPICIO,IND - PDG,410,DE TARAPACA
ALTO HOSPICIO,IND - PPD,455,DE TARAPACA
ALTO HOSPICIO,IND - PR,2272,DE TARAPACA
ALTO HOSPICIO,IND - PSC,1954,DE TARAPACA
ALTO HOSPICIO,IND - RN,1212,DE TARAPACA
ALTO HOSPICIO,PCCH,1403,DE TARAPACA
ALTO HOSPICIO,PDC,3234,DE TARAPACA
ALTO HOSPICIO,PDG,3276,DE TARAPACA
ALTO HOSPICIO,PPD,1949,DE TARAPACA
ALTO HOSPICIO,PR,664,DE TARAPACA
ALTO HOSPICIO,PS,1798,DE TARAPACA
ALTO HOSPICIO,PSC,2492,DE TARAPACA
ALTO HOSPICIO,REPUBLICANO,5559,DE TARAPACA
ALTO HOSPICIO,RN,4689,DE TARAPACA
ALTO HOSPICIO,UDI,1847,DE TARAPACA
ALTO HOSPICIO,Votos Blancos,6310,DE TARAPACA
ALTO HOSPICIO,Votos Nulos,9533,DE TARAPACA
ANCUD,AMARILLOS,1484,DE LOS LAGOS
ANCUD,FA,2462,DE LOS LAGOS
ANCUD,FREVS,1730,DE LOS LAGOS
ANCUD,IND - PR,3628,DE LOS LAGOS
ANCUD,IND - PSC,3761,DE LOS LAGOS
ANCUD,IND - REPUBLICANO,2908,DE LOS LAGOS
ANCUD,IND - RN,2185,DE LOS LAGOS
ANCUD,PCCH,1512,DE LOS LAGOS
ANCUD,PDC,3396,DE LOS LAGOS
ANCUD,PL,2320,DE LOS LAGOS
ANCUD,PPD,3345,DE LOS LAGOS
ANCUD,PS,3696,DE LOS LAGOS
ANCUD,PSC,366,DE LOS LAGOS
ANCUD,REPUBLICANO,1804,DE LOS LAGOS
ANCUD,RN,1873,DE LOS LAGOS
ANCUD,UDI,6000,DE LOS LAGOS
ANCUD,Votos Blancos,3343,DE LOS LAGOS
ANCUD,Votos Nulos,3699,DE LOS LAGOS
ANDACOLLO,DEMOCRATAS,1210,DE COQUIMBO
ANDACOLLO,IND - CANDIDATURAS INDEPENDIENTES,367,DE COQUIMBO
ANDACOLLO,IND - DEMOCRATAS,144,DE COQUIMBO
ANDACOLLO,IND - PCCH,120,DE COQUIMBO
ANDACOLLO,IND - PDC,822,DE COQUIMBO
ANDACOLLO,IND - RN,90,DE COQUIMBO
ANDACOLLO,IND - UDI,910,DE COQUIMBO
ANDACOLLO,PCCH,1087,DE COQUIMBO
