comuna,partido,votos,region
ALGARROBO,FA,501,DE VALPARAISO
ALGARROBO,IND - FA,424,DE VALPARAISO
ALGARROBO,IND - PDC,215,DE VALPARAISO
ALGARROBO,IND - POPULAR/PH/IGUALDAD,490,DE VALPARAISO
ALGARROBO,IND - PR,303,DE VALPARAISO
ALGARROBO,IND - PS,146,DE VALPARAISO
ALGARROBO,IND - PSC,147,DE VALPARAISO
ALGARROBO,IND - RN,453,DE VALPARAISO
ALGARROBO,IND - UDI,3017,DE VALPARAISO
ALGARROBO,PCCH,691,DE VALPARAISO
ALGARROBO,PDC,523,DE VALPARAISO
ALGARROBO,PDG,581,DE VALPARAISO
ALGARROBO,POPULAR,180,DE VALPARAISO
ALGARROBO,PR,156,DE VALPARAISO
ALGARROBO,PS,500,DE VALPARAISO
ALGARROBO,PSC,189,DE VALPARAISO
ALGARROBO,REPUBLICANO,2201,DE VALPARAISO
ALGARROBO,RN,1094,DE VALPARAISO
ALGARROBO,UDI,419,DE VALPARAISO
ALGARROBO,Votos Blancos,1273,DE VALPARAISO
ALGARROBO,Votos Nulos,1847,DE VALPARAISO
ALHUE,FA,171,METROPOLITANA DE SANTIAGO
ALHUE,FREVS,67,METROPOLITANA DE SANTIAGO
ALHUE,IND - FREVS/PL,536,METROPOLITANA DE SANTIAGO
ALHUE,IND - PPD,474,METROPOLITANA DE SANTIAGO
ALHUE,IND - REPUBLICANO,306,METROPOLITANA DE SANTIAGO
ALHUE,IND - RN,169,METROPOLITANA DE SANTIAGO
ALHUE,IND - UDI,449,METROPOLITANA DE SANTIAGO
ALHUE,PPD,1398,METROPOLITANA DE SANTIAGO
ALHUE,REPUBLICANO,453,METROPOLITANA DE SANTIAGO
ALHUE,RN,267,METROPOLITANA DE SANTIAGO
ALHUE,UDI,312,METROPOLITANA DE SANTIAGO
ALHUE,Votos Blancos,718,METROPOLITANA DE SANTIAGO
ALHUE,Votos Nulos,525,METROPOLITANA DE SANTIAGO
ALTO BIOBIO,DEMOCRATAS,76,DEL BIOBIO
ALTO BIOBIO,FA,113,DEL BIOBIO
ALTO BIOBIO,IGUALDAD,138,DEL BIOBIO
ALTO BIOBIO,IND - DEMOCRATAS,108,DEL BIOBIO
ALTO BIOBIO,IND - FA,37,DEL BIOBIO
ALTO BIOBIO,IND - PDC,33,DEL BIOBIO
ALTO BIOBIO,IND - POPULAR/PH/IGUALDAD,50,DEL BIOBIO
ALTO BIOBIO,IND - PPD,17,DEL BIOBIO
ALTO BIOBIO,IND - PR,85,DEL BIOBIO
ALTO BIOBIO,IND - PS,44,DEL BIOBIO
ALTO BIOBIO,IND - PSC,47,DEL BIOBIO
ALTO BIOBIO,IND - RN,46,DEL BIOBIO
ALTO BIOBIO,IND - UDI,154,DEL BIOBIO
ALTO BIOBIO,PCCH,79,DEL BIOBIO
ALTO BIOBIO,PDC,234,DEL BIOBIO
ALTO BIOBIO,PDG,104,DEL BIOBIO
ALTO BIOBIO,PPD,21,DEL BIOBIO
ALTO BIOBIO,PR,253,DEL BIOBIO
ALTO BIOBIO,PS,123,DEL BIOBIO
ALTO BIOBIO,PSC,196,DEL BIOBIO
ALTO BIOBIO,REPUBLICANO,191,DEL BIOBIO
ALTO BIOBIO,RN,261,DEL BIOBIO
ALTO BIOBIO,UDI,61,DEL BIOBIO
ALTO BIOBIO,Votos Blancos,1748,DEL BIOBIO
ALTO BIOBIO,Votos Nulos,563,DEL BIOBIO
ALTO DEL CARMEN,FREVS,656,DE ATACAMA
ALTO DEL CARMEN,IND - FREVS/PL,132,DE ATACAMA
ALTO DEL CARMEN,IND - PCCH,66,DE ATACAMA
ALTO DEL CARMEN,IND - PS,220,DE ATACAMA
ALTO DEL CARMEN,IND - RN,648,DE ATACAMA
ALTO DEL CARMEN,PCCH,146,DE ATACAMA
ALTO DEL CARMEN,PDC,98,DE ATACAMA
ALTO DEL CARMEN,POPULAR,68,DE ATACAMA
ALTO DEL CARMEN,PS,492,DE ATACAMA
ALTO DEL CARMEN,REPUBLICANO,458,DE ATACAMA
ALTO DEL CARMEN,RN,126,DE ATACAMA
ALTO DEL CARMEN,UDI,170,DE ATACAMA
ALTO DEL CARMEN,Votos Blancos,547,DE ATACAMA
ALTO DEL CARMEN,Votos Nulos,435,DE ATACAMA
ALTO HOSPICIO,AH,284,DE TARAPACA
ALTO HOSPICIO,DEMOCRATAS,461,DE TARAPACA
ALTO HOSPICIO,FA,1191,DE TARAPACA
ALTO HOSPICIO,FREVS,422,DE TARAPACA
ALTO HOSPICIO,IND - AH,2081,DE TARAPACA
ALTO HOSPICIO,IND - DEMOCRATAS,1235,DE TARAPACA
ALTO HOSPICIO,IND - FA,128,DE TARAPACA
ALTO HOSPICIO,IND - FREVS/PL,727,DE TARAPACA
ALTO HOSPICIO,IND - PDC,934,DE TARAPACA
ALTO HOSPICIO,IND - PDG,611,DE TARAPACA
ALTO HOSPICIO,IND - POPULAR/PH/IGUALDAD,685,DE TARAPACA
ALTO HOSPICIO,IND - PPD,717,DE TARAPACA
ALTO HOSPICIO,IND - PR,2012,DE TARAPACA
ALTO HOSPICIO,IND - PS,327,DE TARAPACA
ALTO HOSPICIO,IND - PSC,1411,DE TARAPACA
ALTO HOSPICIO,IND - REPUBLICANO,295,DE TARAPACA
ALTO HOSPICIO,IND - RN,1054,DE TARAPACA
ALTO HOSPICIO,IND - UDI,1561,DE TARAPACA
ALTO HOSPICIO,PCCH,999,DE TARAPACA
ALTO HOSPICIO,PDC,5522,DE TARAPACA
ALTO HOSPICIO,PDG,3235,DE TARAPACA
ALTO HOSPICIO,PH,317,DE TARAPACA
ALTO HOSPICIO,POPULAR,339,DE TARAPACA
ALTO HOSPICIO,PPD,821,DE TARAPACA
ALTO HOSPICIO,PR,461,DE TARAPACA
ALTO HOSPICIO,PS,338,DE TARAPACA
ALTO HOSPICIO,PSC,1571,DE TARAPACA
ALTO HOSPICIO,REPUBLICANO,4860,DE TARAPACA
ALTO HOSPICIO,RN,5641,DE TARAPACA
ALTO HOSPICIO,UDI,496,DE TARAPACA
ALTO HOSPICIO,Votos Blancos,6915,DE TARAPACA
ALTO HOSPICIO,Votos Nulos,9419,DE TARAPACA
ANCUD,FA,1019,DE LOS LAGOS
