Comuna;AH;AMARILLOS;DEMOCRATAS;EVOPOLI;FA;FREVS;IGUALDAD;IND;PAVP;PCCH;PDC;PDG;PH;PL;POPULAR;PPD;PR;PS;PSC;PTR;REPUBLICANO;RN;UDI
ARAUCO;0;349.6;1024.8;0;2960;1065;0;1775;0;1225;1014;1279.2;0;237;0;633;2384.4;2618.4;658.8;0;3427.2;3936;3720.4
COINCO;0;0;87.6;0;977.6;59.4;0;0;0;172;315.6;252;0;8.4;0;641.8;334.2;991.2;0;0;1171;1020.4;1229.4
SAN CARLOS;0;309.6;659.2;5126;1008;344;0;1247;0;6198;0;301;0;344;0;883.4;2913;3670;0;0;4949;6336.6;7120.6
LOS VILOS;0;0;296.2;0;1759;0;0;0;0;2663.6;1484.4;240;0;0;0;720;707.8;1043.2;0;0;859;2280;659.8
QUINTA DE TILCOCO;0;0;207.4;0;1095.2;69.8;0;0;0;391.4;1390.8;268;0;10.8;0;1329.6;1922.2;340;0;0;757.6;1890.2;1296.8
SAN FERNANDO;0;78;2793.4;1613.6;2123;3968.8;0;3104;1927.2;3938;2403;832;0;978.8;0;648;2824.2;5096.2;1918.2;0;5978.2;5492.8;5586
CISNES;0;0;0;92;0;0;0;0;0;168.2;728;0;0;0;0;126.4;198.2;589.4;0;0;406.2;1274.6;275.2
QUELLON;0;268;0;0;413;743.8;0;0;0;1576.2;1298;629.8;0;820.8;0;1782;0;1756;1119.2;0;2141.6;3748;3925.2
LA UNION;0;0;0;1016;2077;0;0;0;0;0;2705;0;0;0;0;5807;1996.8;2278.8;0;0;5848.4;4838.6;2594.2
VILLARRICA;0;1822;598.6;640.2;3458.2;447.6;0;2802;0;3497;1956;1047;0;440.6;0;2807;3259.4;856;1493;0;5145.6;8125.2;6186
MACUL;1904;0;0;741;6591;4282.6;605.0666667;0;7281;10258;5252;0;605.0666667;2007.6;605.0666667;3326.8;1986.4;5096;0;0;16652.8;7959.2;6219
RINCONADA;0;0;242;0;0;491;0;174;0;324;272.2;51;0;416;147;191.2;626.6;484.2;151;0;1000.4;2369;723.8
FREIRINA;0;0;272;0;117;338;0;0;0;475.8;806;0;0;94;52;23.2;67.2;599;0;0;126;590.2;775.6
CURACAVI;136.8;0;172;366.4;1982.4;492.2;0;666;201;975.2;704.6;0;0;227.2;0;2043;467.8;1024;312;0;2735;3614;2971.4
SAGRADA FAMILIA;0;114.4;651.6;663;1359.8;711.4;0;0;0;311.6;727;0;0;22.4;0;287;1691;915.4;1142.6;0;1687.6;2522.8;2988
YERBAS BUENAS;0;0;461.2;236;342;106;0;0;0;588.8;1689;165;0;0;0;1997.8;609.6;968;414.4;0;1687.8;2093;4501.8
VALLENAR;0;0;0;0;176.8;6337.6;0;0;0;2065.2;643;1158;0;517.6;254;1117.6;1733.8;6786.8;0;0;2630.8;4176.2;1416
CALERA DE TANGO;23.2;0;248.8;197.6;2174.6;173.6;0;0;544.8;788;401.6;303;187;688.6;0;0;527.2;1496;175.8;0;2910;1783.6;2801.8
