Comuna;AH;AMARILLOS;DEMOCRATAS;EVOPOLI;FA;FREVS;IGUALDAD;IND - CANDIDATURAS INDEPENDIENTES;PAVP;PCCH;PDC;PDG;PH;PL;POPULAR;PPD;PR;PS;PSC;PTR;REPUBLICANO;RN;UDI
SAN FELIPE;0;323.2;1226;358.4;4210;962.4;163.2;1157;0;2588;1015;500;163.2;962.4;163.2;2722.2;3068;2671;1768.2;0;5320;8035.6;2072.6
EL BOSQUE;1474;0;2878;1310.4;4506.4;2589.4;492.8;0;3980;7222;2957;2137;492.8;380.4;492.8;2020.4;2330.6;13685.2;3236.4;0;15079;10085.8;4365
VILLA ALEMANA;0;1383.4;0;672.8;6881.4;1228.8;999.7333333;3223;0;4954.8;3197.8;2129.8;999.7333333;1228.8;1981.733333;1819.6;2801.2;2423.4;2032;0;17010;10167.4;4030.4
COLBUN;0;81;651.4;1520;1010;285;0;0;0;957.8;273;176;0;0;0;3175.4;545.6;903.6;1693.6;0;2048.6;2454.6;2220.6
SAN JUAN DE LA COSTA;0;127;0;300;656.2;53.2;0;0;0;78;1789;369.8;0;53.2;0;118;274.4;1729;175.8;0;515.8;1403.8;1102.4
PAIHUANO;35.8;44.8;189.6;26.6;111.8;34.2;0;0;0;229.2;504.2;73.6;0;15.2;0;256;15;338.4;39;0;182;1030.8;713
PRIMAVERA;0;0;0;0;0;0;0;289;0;34.2;44;0;0;0;0;137;101.4;101.8;0;0;49;85.6;0
LONGAVI;0;0;232;0;1230;179;0;0;0;955.8;630;631.4;0;0;0;1888;3310;808.8;260.8;0;5597.2;2118.8;8549
PUQUELDON;0;0;0;0;81;270.8;0;0;0;79.2;221;0;0;14.8;0;232;0;381;36;0;932.6;757.2;403
PUYEHUE;0;0;0;0;664.6;71.2;0;1060;0;743;1869;568;0;71.2;0;202;0;1963;220.8;0;989.8;1488.6;1737.2
CONTULMO;0;15.2;408.6;94;332.2;93;0;0;0;223;247;60;0;0;0;119;560.6;213.2;252.6;0;1301.4;611;543.2
TENO;346;134.4;737.6;1600.6;317.4;1399.8;0;0;0;396.2;3380;0;0;40.8;0;687;3833.2;351.2;246.2;0;5158.8;2843.4;3026
CALDERA;0;187.6;58;0;283.2;724;147.4;0;0;1065.4;181;226;90.4;150;488.4;921;676.4;763;111;0;849.8;2120;1352.6
PEMUCO;0;58.2;190;45;152;26.4;0;0;53.6;71.4;1296.4;105;0;39.4;0;64.4;63.6;607.6;481.8;0;322;1968.6;2778
CANELA;260;0;483.2;0;152.4;0;0;0;0;2555;778.4;88;0;0;0;1119.8;0;60.8;0;0;306;314.4;939.8
TALTAL;29;0;104.4;213.4;276;77.6;0;0;0;641.6;613.2;136;0;30.6;0;281.2;963.8;769.6;776.8;0;274;817.6;295.2
LAS CABRAS;0;0;1345.4;0;734;557.8;0;503;0;728;1349.6;451;0;18.8;0;1145.6;2139;7132.6;0;0;2225.8;1572.2;2828
PUENTE ALTO;3239;0;14430;6947;28702.6;3422.4;949.8666667;9424;21178.8;45247;2562;16182;15667.86667;10586.4;949.8666667;7536;2515.8;15689;17689.8;0;33650;47068.6;13085
ANGOL;0;3567;1045;3091.6;1500.2;0;0;0;0;474;7938.2;0;0;0;0;2726;1410.4;2225;1378.4;0;4997.2;7903.6;2621
