Distrito;AH;AMARILLOS;DEMOCRATAS;EVOPOLI;FA;FREVS;IGUALDAD;IND;PAVP;PCCH;PDC;PDG;PH;PL;POPULAR;PPD;PR;PS;PSC;PTR;REPUBLICANO;RN;UDI
1;0.027717851592116625;0.0;0.06623916907911237;0.003480785875848371;0.030597410816682095;0.04219568717626028;0.006772951625531064;0.0;0.0;0.0641823410615656;0.0527813712810462;0.0663657431109614;0.05233029617459097;0.05080458272481574;0.013566998920517895;0.020983368544619616;0.04065260081739488;0.05718540303626398;0.03378782097240622;0.0;0.19528697869766407;0.1041145867271138;0.07095405176548879
2;0.03847409360031212;0.0;0.051547827987126975;0.010124905245451161;0.05009048630401671;0.046783809439152654;0.005004404805187076;0.000730719588063722;0.0;0.040066652552989315;0.07596205721448966;0.07568889101334433;0.007913624847179822;0.024131502209177275;0.013472557042535763;0.04536607685520846;0.05800684281320799;0.04075639721088124;0.04958512883189787;0.0;0.1652928683130311;0.12321161502659507;0.07778953910015182
3;0.016151939026220242;0.0;0.04683832412599135;0.04986120412373567;0.05647579359868211;0.08596073964144983;0.003313845794183361;0.0;0.0;0.07345168249671145;0.06013424969016217;0.07816325183568831;0.0030468593370714973;0.026897402295925233;0.0017823818110278083;0.030657461566917312;0.06319346951123563;0.05388083356136429;0.05854419701225151;0.0;0.14206942686160312;0.09326281924345929;0.05631411846631991
4;0.0;0.02800123223983693;0.013540459615148541;0.0;0.04937466406643312;0.12284631932803064;0.019520345920596427;0.0008893781184628742;0.0;0.0955527227215794;0.02442696336665207;0.03374481034979427;0.007668415776925817;0.020406716480440904;0.01645263588899029;0.051121196458487034;0.05896448030029369;0.11356198514355517;0.03198152155840701;0.0;0.10962423130021592;0.134928972201177;0.06739294916497302
5;0.011129524356714127;0.016349655584152495;0.04121805292596516;0.01541470670759637;0.06936785314996483;0.027016963395043628;0.002354261179116967;0.008281180616735623;0.0;0.10429459875832685;0.08461239533810617;0.05152925802058107;0.002354261179116967;0.014689595539019865;0.002354261179116967;0.036485949716401934;0.04145609205711288;0.08224443177243183;0.03690562513236118;0.0;0.10901140628074804;0.11274881183585658;0.1301811152755304
6;0.0;0.010682703322735082;0.016227761985711815;0.006079319242395041;0.08233776090021142;0.03304854963134134;0.007411566615421221;0.017541734852731892;0.0;0.07379066660050325;0.05921298507637514;0.01979523236041917;0.007411566615421221;0.021442446232710227;0.016848020242046444;0.048825540450783377;0.05245356752429804;0.0691030764596915;0.02900056722645292;0.0;0.1746186450856533;0.18099716458546905;0.07317112498962851
7;0.0;0.005225429819713403;0.009592917894187878;0.023985255878170703;0.1412271607058031;0.015602853120155195;0.007784778359084375;0.001450959923494277;0.0;0.08638521860701423;0.05565921748426727;0.042464760427599176;0.007784778359084375;0.014562504984534128;0.023115601169714346;0.03521588309552981;0.04403692979232142;0.04663918199796789;0.03304793181936462;0.0;0.20656892000334212;0.11056827881761233;0.0890814377410394
8;0.0060483372419167705;0.0;0.025520864312955558;0.018085976389871566;0.17905640146875926;0.022664222380981387;0.0038519257141651944;0.0028648846015119586;0.03843913245233934;0.09101978975844055;0.051348044047923466;0.03799046389966087;0.026162827179283595;0.034525869395561806;0.0038519257141651944;0.0277372513192108;0.035782319562943414;0.04534136570340038;0.014437815407417457;0.0;0.17492103188416622;0.08752177902648559;0.0728277725388396
9;0.00657663795053206;0.0;0.03934744211796175;0.019502020859322997;0.09902730969722823;0.025954479675557033;0.0013925637741371273;0.0;0.035879791823053044;0.13377734889344145;0.03817190277121316;0.0421778938941401;0.022490876186643062;0.009549306053699767;0.0013925637741371273;0.05609740361549564;0.03392275641604345;0.06780180732671943;0.031131153977969502;0.0;0.13353592800664976;0.12093937699538544;0.08133143619067001
10;0.009965788250752986;0.0;0.013821050871376936;0.03439695351128123;0.20293356756883524;0.02348642904779559;0.0025076301566738153;0.003571623011604398;0.04351644088919266;0.12193100484733435;0.04079622280509083;0.015563720962782416;0.010203815435191044;0.01865337538425333;0.0025076301566738153;0.027917477644227008;0.015681600320429787;0.05720016838516596;0.015078835769985494;0.0;0.1317166928836199;0.1134220596269697;0.09512791247076341
11;0.026583299398301972;0.0;0.012371530059500334;0.10060869717892044;0.08731498211581963;0.01349095732030988;0.002389855574266512;0.0050566994038414;0.029553636985486957;0.03323514822606448;0.03645195257792955;0.0030102679568817592;0.00926407525396105;0.008647678857951235;0.002389855574266512;0.026875548397203356;0.011196337972045294;0.036970014702012687;0.017737345601166757;0.0;0.22988602289082435;0.15988292140250587;0.14708317255074013
12;0.020393606934432703;0.0;0.03281145225977201;0.02378463278645271;0.07632981507662169;0.02210187253768924;0.00449566473188348;0.01397456167108471;0.05742530564113882;0.12992635180490603;0.031187710215009934;0.030015946777776154;0.04764864852675694;0.02086071081032316;0.00449566473188348;0.03175327662219921;0.024518949736741454;0.05414905388433762;0.04119352009741774;0.0;0.12013882030513655;0.1553068486905121;0.05748758615792422
13;0.015439231289259583;0.0;0.0323225041989519;0.020585955811806778;0.11912000621875672;0.03221885357693063;0.004278572040234631;0.012428651858732615;0.039383467254555604;0.13365041000856615;0.03861362581645215;0.00884893628547066;0.015366832901969205;0.010124781214714326;0.004278572040234631;0.026153407631922143;0.04262490488867541;0.10462917812099178;0.03327232080801956;0.0;0.1260014652425872;0.12101869715851003;0.05963962563265834
14;0.005241548110381052;0.0;0.012873073863693529;0.02425008696786869;0.0846120379384179;0.024661678984447002;0.0;0.015023108605108557;0.03459385166894465;0.06600472507635032;0.04587238757211625;0.036303940277083745;0.01289045219328239;0.015786535575117524;0.0;0.03768566992088592;0.04602635347461407;0.11285578699899723;0.02801935519080034;0.0;0.17615802938279185;0.07764088870948219;0.14350048948961674
15;0.0;0.004082778265662282;0.02348705430731833;0.0052212697720571905;0.06923403717747835;0.03830629140084885;0.0;0.004406242295443385;0.03168113680032438;0.05896825671735459;0.04902084636528309;0.03502376823878675;0.0;0.006015921561755651;0.0;0.10712415517308127;0.07163531188045177;0.07607975858886143;0.019265211978458825;0.0;0.16495748612925115;0.12783756909904825;0.10765290424853448
16;0.0;0.007393579335005096;0.03909458915790335;0.018941448310810405;0.06606157201975259;0.04432646628444748;0.0;0.01975379262137397;0.009719055852973392;0.041896553974909295;0.08163496605243387;0.018265582591502957;0.0;0.007628559866037361;0.0;0.027537226019228048;0.08611561754189001;0.10149794154681274;0.011957304749573652;0.0;0.11178486701644742;0.13933396073926296;0.1670569163196352
17;0.007555169019902826;0.012932914456925052;0.040764225109010614;0.054289089419751566;0.04576121888126683;0.03473540919835042;0.0;0.004238836892902811;0.008041147951396157;0.04361502883338656;0.0739119296115106;0.025533043034977467;0.0;0.0014791309789445072;0.0;0.03194298243820129;0.1175195218889447;0.054197619781536296;0.0300931391450266;0.0;0.12048224578040519;0.1518611654496123;0.1410461821279482
18;0.0;0.00688776091494323;0.021131443336341618;0.016710156806178062;0.06074694400923616;0.009946686313760124;0.0;0.00943226206497489;0.0020079808261308186;0.05194994410383498;0.06306703189637493;0.01158524838405188;0.0;0.0;0.0;0.0763550590690233;0.057799189488344664;0.04872944115573521;0.027838292636275814;0.0;0.12305718533290154;0.22401346203376415;0.18874191162812856
19;0.0;0.014841491364993296;0.02142713821568629;0.026951130939540352;0.03173658166211515;0.012653654887989366;0.0;0.013694584621935261;0.018530433299954498;0.0411685354730955;0.05806645182379368;0.024102468934606065;0.0;0.014796745516701505;0.0;0.04685643930437633;0.08708201490083849;0.07434169436984187;0.03185574692125013;0.0;0.10960754593985592;0.11065224374523691;0.26163509807818935
20;0.0;0.013744746285064911;0.034420964219762526;0.025275933065632746;0.056422697586000214;0.054582811533626166;0.02949400001040952;0.010109404865172901;0.0;0.06530057500682862;0.07331604144211701;0.035632554818338255;0.0005172187417008142;0.012308154141384616;0.0005172187417008142;0.03015561847357773;0.04248029171574217;0.05320204255809839;0.16811545826048396;0.0;0.1447597282544651;0.05636431110910599;0.09328022917078752
21;0.0;0.005317736511664084;0.07883646587114392;0.014594558209110849;0.04445680583134066;0.011668295809355338;0.012389606139151807;0.0077265551085839105;0.0;0.05154657056165432;0.08624297393487734;0.04032757950687617;0.0007047917719615041;0.009097595352330495;0.0007047917719615041;0.02952939869558531;0.08682607900239848;0.06268668550602416;0.04268271279304689;0.0;0.14805334998390446;0.14042301547074007;0.12618443216828876
22;0.0;0.02483667759429733;0.05829451148754486;0.06303940375057937;0.0550255259979498;0.009464410770651698;0.0;0.011202513016736528;0.0;0.013223955531647838;0.07585145865261975;0.01724062101420592;0.0;0.022032877620686037;0.0;0.09316143459829962;0.057267720184991586;0.05229530991504866;0.0502983953637074;0.0;0.11686559690913825;0.18500850866598326;0.09489107892591202
23;0.0;0.03777789448024336;0.026559042607808912;0.026665642471894086;0.07541430899381486;0.03418759538140413;0.0;0.024037877439941558;0.0;0.03180830209147366;0.05034727257193336;0.031832600589904836;0.0;0.02092531817316051;0.0;0.05631882451702815;0.057066983121949466;0.04798757484525384;0.04683731528242302;0.0;0.14635259942984752;0.16738451746709318;0.11849633053482564
24;0.0;0.018016230710813406;0.0;0.02664624354826346;0.09510469961461884;0.019156335407207393;0.0;0.0037520394669463032;0.0;0.04718165474924459;0.07110775019984038;0.011716669168026309;0.0;0.0;0.0;0.09333528289089325;0.04053426465501526;0.17621896193789455;0.014852279146583325;0.0;0.1376376901865327;0.1558426500928509;0.08889724822526922
25;0.0;0.021774518150181128;0.0;0.016330354312337706;0.06542186570540105;0.01974773901923837;0.0;0.03761117898703788;0.0;0.027762243491331867;0.12483035965534069;0.046974257411635634;0.0;0.023776363267210703;0.0;0.037878329136107655;0.031473849562408056;0.10288201580816482;0.0385693575217015;0.0;0.15584613576214376;0.11627585568192746;0.1328455765278317
26;0.0;0.028027426249154504;0.0;0.010765055388561916;0.08298994389575105;0.03395724401559355;0.0;0.005677783671670862;0.0;0.03705743177818754;0.07123752108470084;0.028187964670320875;0.0;0.03749638648221587;0.0;0.05320220824527575;0.03597407809688998;0.10170333510150124;0.02589439827561528;0.0;0.13687415976940842;0.16950668114880393;0.14144838212634822
27;0.0;0.0;0.029811771785366283;0.02604389507360471;0.0;0.025284799032773624;0.0;0.0;0.0;0.07159793857118803;0.1083326662489338;0.0;0.0;0.0;0.0;0.06699643638913194;0.07592064548006613;0.0991986706158063;0.022935741830056335;0.0;0.09193067106850358;0.20222318527740127;0.1797235786271679
28;0.0;0.0;0.0;0.04635824146514936;0.10479455606922713;0.0;0.0;0.18730181661925083;0.0;0.0762005838074917;0.061138646870554765;0.02158717105263158;0.0;0.0;0.0;0.03369673127074442;0.033554113323850165;0.100358582266477;0.03527108522996681;0.0;0.12496851292081555;0.10809884720246561;0.06667111190137506
