Circunscripcion;AH;AMARILLOS;DEMOCRATAS;EVOPOLI;FA;FREVS;IGUALDAD;IND;PAVP;PCCH;PDC;PDG;PH;PL;POPULAR;PPD;PR;PS;PSC;PTR;REPUBLICANO;RN;UDI
1;0.03699757185536622;0.0;0.05039831961202963;0.009728561933671559;0.048297834649077824;0.04593761945925498;0.004944197959719171;0.000699273687729678;0.0;0.035409887596749505;0.07272313157400512;0.07598374488364752;0.007661375717754492;0.023973765915136145;0.013295523716033611;0.04854158147737216;0.05746830958244703;0.035357941551375296;0.047567926114076176;0.0;0.17825485262640536;0.12088643928506257;0.08587214080308586
2;0.01601737027589543;0.0;0.04541339192239609;0.04758541368685123;0.05666278366783279;0.09385478567324337;0.0031368732519143935;0.0;0.0;0.07105371809430933;0.059722488461617186;0.07594924576436436;0.00302996790369783;0.03369656575786075;0.0017507901164168832;0.03012961351874535;0.06326068684845365;0.0518608903372502;0.058845864606241374;0.0;0.14045224648692084;0.09241045755492443;0.05516684607106447
3;0.0;0.027556079175629203;0.013956585882132671;0.0;0.04888389017209024;0.11239684715965709;0.019527143378821013;0.0008862151834765352;0.0;0.0956695355715375;0.027853221913618397;0.033839084174953286;0.007628401284980657;0.018360293389437395;0.016373259931938246;0.047434667695581544;0.06025872270353611;0.11494080603928386;0.03155317030463293;0.0;0.10069620022252132;0.15380785812284373;0.06837801769332849
4;0.010488467168965943;0.015500386412299342;0.039034412875125823;0.014673394054156843;0.06453528959910206;0.025953364355280624;0.0022657069009505136;0.007980406211550151;0.0;0.10052696830954322;0.0810377796819682;0.04937391868765616;0.0022657069009505136;0.014174210072872635;0.0022657069009505136;0.03527395581125143;0.03965967700135553;0.07866980777449184;0.03498677325887557;0.0;0.10464465245076318;0.10781253283339375;0.16887688273849621
5;0.0;0.008328611638783796;0.01352660633574484;0.013657771578785704;0.10761479055889593;0.025363888225871788;0.007724768547843116;0.010088094237656104;0.0;0.08697342302396205;0.05953472180388425;0.03158089196942211;0.007724768547843116;0.0185892415522422;0.020324639060329275;0.048487291079336234;0.047038753991219234;0.05299399919015457;0.031840362748170106;0.0;0.17470333396127607;0.15111799304983486;0.08278604889874465
6;0.0;0.00542160312885289;0.030274972170736953;0.011234585037790642;0.0671797049145526;0.04037488534887962;0.0;0.011599835610025611;0.02131816808602712;0.050209433916046806;0.06288161472324513;0.026855987306045687;0.0;0.006504835079296389;0.0;0.08780112079124923;0.07692035523475922;0.08618280491754646;0.01532120004681304;0.0;0.13606645274196488;0.13066961697680304;0.13318282396936468
7;0.005048857116725622;0.011277305232766526;0.03448251995441815;0.03875173960009591;0.05225993518676445;0.02629558493821484;0.0;0.006176043821855062;0.006164673078777001;0.048132108259361706;0.07189943319317657;0.021136481051645423;0.0;0.0009561311788247102;0.0;0.04868210615824614;0.08923091754480937;0.060073860391994006;0.03339241175932586;0.0;0.11601593881551464;0.16760005635933528;0.16242389635814874
8;0.0;0.01118037087806132;0.05624095274840498;0.022155484091626265;0.05551302865988177;0.04021745321450791;0.025294245264644254;0.009850251837428912;0.0;0.058131650926008145;0.07915310405511194;0.040040762338369285;0.0006430466350484727;0.011690340951706941;0.0006430466350484727;0.03188706032063073;0.0646607491095499;0.061089018873833424;0.08423640533899242;0.0;0.1473069365632947;0.09047066605257031;0.10959542550527981
9;0.0;0.031719023918431496;0.03478455948039038;0.042445443004815925;0.06360972857517078;0.026684130278544608;0.0;0.019831946319543797;0.0;0.026052753541418984;0.06488860230654013;0.02685688570066026;0.0;0.02137116220337048;0.0;0.06899335711071258;0.05766108502763952;0.049361570650385204;0.04732074609923361;0.0;0.14348828930488108;0.1729566566586737;0.10197405981958746
10;0.0;0.023721499732014623;0.0;0.01240037289686261;0.07212535080823235;0.025893079159624636;0.0;0.018416576196872016;0.0;0.031569621262547455;0.08511617417314869;0.034050426296107265;0.0;0.02965339644457512;0.0;0.04041237791143061;0.031877325088940416;0.09287877169258715;0.030552159450844548;0.0;0.1315712343488777;0.13879846982022004;0.2009631647171149
