Comuna;AH;AMARILLOS;DEMOCRATAS;EVOPOLI;FA;FREVS;IGUALDAD;IND - CANDIDATURAS INDEPENDIENTES;PAVP;PCCH;PDC;PDG;PH;PL;POPULAR;PPD;PR;PS;PSC;PTR;REPUBLICANO;RN;UDI
LOS VILOS;0;0;310.2;0;1878.6;0;0;0;0;2840.4;1551.2;214;0;0;0;672;690;1141;0;0;822;2204.4;1410
ALTO HOSPICIO;1637.8;0;1452;588.8;1411.4;948.6;92;0;0;1220;4566.2;3704.8;252;733.6;266;1997.8;2309.8;1186.2;3261;0;5904.2;6178;1595
CISNES;0;0;0;91;0;0;0;0;0;173.2;738.4;0;0;0;0;146.4;191;575.4;0;0;390.4;1233.8;311.6
HUALQUI;0;43.2;1888.2;193.8;1386.2;456.4;0;349;0;3614;1351;440;0;56.4;0;935.6;550.4;1276;1927.2;0;1827.2;1367.4;1379.2
MELIPEUCO;0;0;239.4;300.4;126.6;63;0;79;0;74;478.4;87;0;279;0;849;733;90;49.6;0;487;666.6;1130.4
LOS SAUCES;0;0;274;401.8;104.6;0;0;0;0;0;605.4;482;0;0;0;283.6;486.2;44;147.2;0;535.8;1127;1664.4
QUILLON;0;143.8;1584;71;704;65;0;161;225.6;508.8;1551.2;244;0;229;0;778.6;994.4;516.2;290.8;0;2866;2779.4;985
CUNCO;0;0;1465.4;297;855.8;471.2;0;0;0;465;806.6;266;0;25.2;0;812;1356;423;125.6;0;2707.2;3173.4;1786.2
COLINA;0;0;990.6;3495.2;4463;700.4;403.7333333;0;979;3308;4660;2212.8;403.7333333;1819.4;403.7333333;3484;1676.8;3570;0;0;16185.8;16622.8;11420
PADRE HURTADO;291;0;778;435.6;3988;0;0;0;2157;2654.4;1925;2729.2;0;2967;0;454;3166;7825;0;0;7934.2;5677.2;5884.8
RANQUIL;0;32;0;419;0;102;0;0;433.6;0;811.6;74;0;8;0;683.8;742;220;128.4;0;137;589;1604.8
CARAHUE;0;479;566.2;2241.4;430.2;313.8;0;0;0;201;3851;297;0;26.8;0;2554.2;99;795;140;0;1795.6;2770.8;5661.2
LOS MUERMOS;0;274;0;116.2;275.2;75;0;4007;0;432;656;239.2;0;85;0;599;0;518.2;0;0;1038;2083;3938.8
NOGALES;0;0;0;0;353.6;499;0;0;0;1945.2;737.2;424;0;146;177;1138.2;1171.8;1244.4;515.2;0;1336.6;1881.4;1769.6
QUEMCHI;0;0;0;0;697;38.4;0;0;0;193.6;531;692.6;0;38.4;0;148;0;408.6;75;0;1290.6;1181.8;2538.6
TOCOPILLA;0;0;121;0;1104.8;3625.2;0;0;0;717.2;1388.4;111.2;0;1449.2;0;1340.2;240;292.8;1379.4;0;267;1360.8;920.4
QUILLECO;0;21.6;476;68;1146.8;0;63.53333333;0;0;61;2031.6;109;8.533333333;0;8.533333333;212.4;818.2;584.6;287.6;0;1395.2;887.6;727.8
INDEPENDENCIA;543;0;742;652;5899.8;488.2;112.5333333;0;2553.4;4415.2;1127;1155;1161.533333;489.2;112.5333333;973.4;912;3410.6;1720.6;0;6892.4;9358.2;6019.2
VALLENAR;0;0;0;0;175.2;6236;0;0;0;1982.6;719;1096;0;536;275;1168;1814.8;7507.4;0;0;2667.2;4800.4;1419
TORTEL;0;0;0;0;0;0;0;0;0;19;46;0;0;0;0;23;0;93.6;0;0;0;240.8;187.2
EL TABO;0;0;0;83.2;786.2;89.2;66.66666667;0;0;724.2;916.8;461;66.66666667;89.2;190.6666667;426;1171.6;1080.6;177.6;0;1790;1637.2;1624.2
CALDERA;0;191.6;56;0;281;595.6;150.4666667;0;0;1042.6;209;224;95.46666667;125.6;481.4666667;846.4;693;744;116;0;750.4;2407.4;1349.2
LOTA;0;231.4;2645.6;1126.4;1344;327.4;0;0;0;4045;2536;2297.4;0;825.4;0;1506;2970.2;3588;3246;0;3529.8;5543.4;1485.2
ANDACOLLO;92.2;76.8;1214.6;52.6;182;45;0;172;0;991.6;694.6;196.6;0;22;0;53;26;1064.6;498.4;0;461;686.2;1375
PAREDONES;0;0;586;127;328;452.8;0;0;0;161;665;39.2;0;78.8;0;272;911.6;191;292;0;468.6;1186;1891
ZAPALLAR;0;0;376.2;210.8;0;457.2;0;0;0;383;399.8;0;0;457.2;0;148.4;0;558.6;0;0;1182;2834.2;725
CAUQUENES;0;0;460;0;2554;0;0;505;0;766;2739;0;0;0;0;1601.8;2797.6;2709;680;0;4325;10217.8;6534.6
COYHAIQUE;0;0;1280;0;0;1259;0;0;0;4104.8;4019;0;0;0;0;2289.8;2541.4;3796;1684.4;0;3806.4;5893;6974.4
GRANEROS;0;0;819.8;0;912.6;2584.6;0;403;748.8;1096;1571.4;692;0;39.6;0;5519.4;2052.2;1409.6;0;0;4790.2;2405.2;1500
SAN MIGUEL;347;0;1987;2264.6;17710.2;1766.8;275.7333333;2910;2561.2;9372;2319;1564;736.7333333;587.8;275.7333333;585.8;2846.8;6165.2;2351;0;10931.2;12305.6;10427.6
ERCILLA;0;0;335;516;286.8;710;0;621;0;0;189.4;0;0;134;0;377.8;502.8;691;88;0;619.4;1299.6;688.6
ALGARROBO;0;0;228.8;0;881;0;64.53333333;311;0;776.4;1323.4;295;64.53333333;0;156.5333333;119.2;319.4;500;152;0;2133.4;1884.2;2464.4
PICA;0;0;107.2;24.8;166.8;22.8;0;0;0;53;735.2;670;0;2.8;0;225.6;76;120.2;47;0;389;1238;476.4
ANGOL;0;3599;936;3408.6;1534.4;0;0;0;0;484;8609.6;0;0;0;0;2680.8;1431.6;2300;1360;0;5461.4;7947;2673
CORRAL;0;0;0;55.4;689;323;0;680;0;61.4;354.2;56;0;0;0;399.8;368;2237;0;0;213.8;354.8;216.8
PALMILLA;0;227;450.6;458;150;310;0;0;0;406;1046;200;0;46;0;128;926.2;1041;146;0;1764.4;1266.8;2330.2
LO ESPEJO;1141;0;1745;2054.2;10740.4;4534.4;258.9333333;0;2658.6;16808;2631;0;258.9333333;504.4;258.9333333;2276.4;3246.4;4292.6;2998.4;0;3457.6;5664.2;3380.4
GORBEA;0;116;1122.4;75.8;152.8;108.8;0;0;0;127;1402.4;212;0;160.8;0;87.2;1360.8;766;60;0;3174;1789.8;2180.4
RENCA;388;0;5977.4;694;12525;2870.2;0;0;1605.2;9269;3259;2217;1322;659.2;0;4193;7638.4;6522;3577.2;0;11656.6;6016.2;11826.6
HUALPEN;0;372;2928;1262;2165.8;4238.2;1427;572;0;3025;4663.8;2787.8;0;419.2;0;6126.4;6388.8;2983.2;8358;0;6193.6;3102;3728.4
FUTALEUFU;0;18.4;0;68;596.6;0;0;202;0;0;128;0;0;0;0;0;0;376;0;0;135.2;501.2;1169
TOLTEN;0;0;113.6;107.8;91.4;39.4;0;0;0;65;446.6;106;0;8.4;0;57.6;1897.6;207;51.2;0;1820;1405.2;1898.2
LAGO VERDE;0;0;0;0;0;0;0;0;0;53;56;0;0;0;0;174;188.6;109;0;0;80;220.4;339.8
FREIRE;0;75;374.4;945;1009;810;0;0;0;683;2045.8;374;0;912;0;418.4;1939.6;1102;1856.2;0;1702.2;2185;2746
TIERRA AMARILLA;0;405.4;54.4;0;383.6;445;130.1333333;136;0;732.2;519.8;204;70.13333333;170;98.13333333;967;188.8;389;220.2;0;481.6;1535.6;841.8
SANTO DOMINGO;0;0;0;547;456.8;0;23.2;0;0;113;2426.6;128;23.2;0;60.2;0;1435;152;251.8;0;1666.6;1799.8;990.4
LINARES;0;643;3643.6;1033;6362;0;0;0;0;6738;2748;776;0;0;0;4597.8;2898.6;5269.8;1410.6;0;6893.8;19761.8;6522.6
LO BARNECHEA;3177;0;399;10426.8;1447;401;0;0;1662;928;823;0;0;520;0;852.4;0;1122;1272;0;20774;15925.4;15224
CORONEL;0;192.8;1844;496.4;5298.8;4359.8;0;0;0;7205.8;3456;3156;0;1237.8;0;5123;5327.4;5905;7599;0;9729.4;5140.2;6718
CALERA;0;0;370.4;0;2463;824.4;0;0;0;3664;3999;716;0;158.4;750;1326.8;1369;3597;1004;0;2825.4;4764;1390.4
TUCAPEL;0;28.8;187.8;139;1393;0;113.6;741;0;364;1088.8;165;13.6;0;13.6;462.6;982.2;246;188.2;0;723;4060.2;773
LA SERENA;2372;2021.8;4101.2;2202.8;9561.6;2389;541.3333333;0;0;11928.4;8285.4;5958.6;541.3333333;1342;541.3333333;2346.4;6332.8;7432;4293;0;17409.6;14765.8;17194.6
MARIA ELENA;0;0;0;0;47;279.6;0;0;0;56.8;66.4;211;0;227.6;0;32.8;117.6;286.4;0;0;29.6;942;552
PURRANQUE;0;0;0;0;1004.8;104.4;0;386;0;257;3414;679.4;0;104.4;0;57;340;1378;652.8;0;3403.8;1384.4;1456.2
