;Comuna;AH;AMARILLOS;DEMOCRATAS;EVOPOLI;FA;FREVS;IGUALDAD;IND - CANDIDATURAS INDEPENDIENTES;PAVP;PCCH;PDC;PDG;PH;PL;POPULAR;PPD;PR;PS;PSC;PTR;REPUBLICANO;RN;UDI;Votos Blancos;Votos Nulos
0;PORVENIR;0.0;0.0;0.0;406.0;0.0;0.0;0.0;0;0.0;302.4;721.0;0.0;0.0;0.0;0.0;869.0;1229.6;162.0;0.0;0.0;502.6;37.6;0.0;176;234
1;ALTO BIOBIO;0.0;186.6;116.0;157.8;180.4;234.0;76.66666666666667;0;0.0;95.0;178.0;317.20000000000005;6.666666666666667;129.0;6.666666666666667;249.4;584.0;162.6;629.0;0.0;341.6;417.6;264.2;1037;399
2;MELIPEUCO;0.0;0.0;250.0;273.4;123.8;66.0;0.0;77;0.0;73.0;464.6;89.0;0.0;280.0;0.0;876.4;745.8000000000001;88.0;48.0;0.0;445.0;601.4;1133.2;944;563
3;CUNCO;0.0;0.0;1424.0;251.8;874.8;499.6;0.0;0;0.0;451.0;725.4;280.0;0.0;25.6;0.0;781.6;1437.6000000000001;441.0;128.0;0.0;2433.2;2867.6;1873.4;1871;1648
4;CHANCO;0.0;0.0;0.0;0.0;0.0;65.0;0.0;639;0.0;137.0;1201.0;0.0;0.0;0.0;0.0;620.4;2166.4;151.60000000000002;110.0;0.0;801.2;1909.8;706.6;693;415
5;AYSEN;0.0;0.0;575.0;1738.0;0.0;423.0;0.0;0;0.0;366.0;1536.4;0.0;0.0;0.0;0.0;1695.2;1320.8;1374.8;0.0;0.0;1695.6000000000001;2699.6;3302.6;1699;1711
6;TIRUA;0.0;21.6;46.0;0.0;499.8;128.0;0.0;0;0.0;479.0;383.0;101.0;0.0;383.0;0.0;1162.0;611.2;358.6;858.0;0.0;1255.8000000000002;605.0;633.8;910;673
7;ESTACION CENTRAL;382.0;0.0;830.0;1100.0;8144.2;1904.8;586.6666666666666;0;3326.6;8522.4;4222.2;1341.0;586.6666666666666;1333.8;586.6666666666666;1900.0;2421.6000000000004;4467.0;0.0;0.0;10874.0;7183.4;7681.6;10154;17460
8;TIERRA AMARILLA;0.0;419.4;56.0;0.0;385.4;450.0;126.8;133;0.0;716.0;461.4;195.0;68.8;174.0;96.8;925.0;184.6;341.4;221.2;0.0;509.8;1327.6;846.0;1161;1121
9;NINHUE;0.0;55.0;0.0;53.0;0.0;228.6;0.0;0;0.0;0.0;1039.4;66.0;0.0;275.6;0.0;113.2;813.4000000000001;367.2;143.8;0.0;338.4;767.2;827.6;416;368
