;p1;p2;p3;p4;p5;p6;p7;p8
1;28269.4;12189.400000000001;0.0;7010.000000000001;26253.800000000003;24812.2;0.0;7995.799999267
2;33719.2;26423.8;0.0;10968.0;38913.4;30838.4;110.0;3939.5999999200003
3;79207.0;41230.6;0.0;21217.6;64255.399999999994;52597.8;0.0;2223.6000001
4;57973.4;20154.2;0.0;5278.0;38036.8;20512.2;138.0;6703.40000008
5;120805.2;66692.8;0.0;22389.6;112398.6;63549.8;3671.0;2988.79999989
6;143518.0;90187.0;0.0;11417.8;151128.8;104970.6;9756.0;17850.600000320002
7;141894.4;67547.6;0.0;21636.0;116233.0;113278.6;713.0;19876.600001571
8;313148.4;95488.4;0.0;34455.4;178421.2;155678.6;2724.0;65842.6000012
9;184450.0;74032.4;0.0;23927.4;141568.8;87078.6;0.0;35011.5999997
10;280717.39999999997;68163.2;0.0;12973.199999999999;208401.0;124109.0;2953.0;49295.4000005
11;121145.8;43058.0;0.0;1683.0;242460.2;142514.4;3003.0;25909.8
12;213138.0;59838.0;0.0;20847.800000000003;170628.8;109458.4;9981.0;66274.99999908
13;163062.2;45663.6;0.0;3809.4;91521.0;68689.6;5318.0;26867.4
14;195954.4;79275.4;0.0;23952.4;169806.0;123270.20000000001;9807.0;31200.0
15;97151.79999999999;73829.2;0.0;14302.6;97227.4;73152.8;1799.0;12743.800000000001
16;85305.2;63255.399999999994;0.0;6190.4;115093.79999999999;42092.2;6761.0;3329.4
17;101693.6;115032.40000000001;0.0;13870.4;196365.8;74127.8;2197.0;4501.2
18;50133.4;55461.2;0.0;3384.4;124192.4;44157.0;2785.0;552.0
19;75889.4;80877.2;0.0;10441.0;136898.2;56277.0;5944.0;8018.0
20;171789.8;101466.4;0.0;26232.8;159034.0;165127.2;7337.0;22835.39999664
21;84534.2;98548.20000000001;0.0;19625.0;159065.2;83547.0;3711.0;6681.999999998
22;36390.6;53527.0;0.0;4087.2000000000003;95419.79999999999;40169.8;2604.0;0.0
23;102265.0;84586.2;0.0;15997.0;173847.0;90726.8;12002.0;0.0
24;81633.2;64811.0;0.0;3736.0;88485.0;48185.799999999996;1170.0;0.0
25;64707.399999999994;51110.4;0.0;13110.2;77048.20000000001;50488.600000000006;10686.0;0.0
26;102014.79999999999;54990.6;0.0;9693.8;112748.6;58559.0;1967.0;0.0
27;14060.6;18414.4;0.0;0.0;30630.2;8376.0;0.0;0.0
28;29460.199999999997;13671.6;0.0;2303.0;23458.2;17594.6;18760.0;0.0
