;p1;p2;p3;p4;p5;p6;p7
1;17265.4;43952.4;30307.0;0.0;7010.000000000001;0.0;7995.799999267
2;24733.4;62067.799999999996;43093.6;0.0;10968.0;110.0;3939.5999999200003
3;59875.0;104088.0;73327.79999999999;0.0;21217.6;0.0;2223.6000001
4;39471.0;52139.2;45066.4;0.0;5278.0;138.0;6703.40000008
5;82584.79999999999;153006.6;127855.0;0.0;22389.6;3671.0;2988.79999989
6;96644.0;240838.0;152322.4;0.0;11417.8;9756.0;17850.600000320002
7;112802.8;221742.2;104408.6;0.0;21636.0;713.0;19876.600001571
8;244083.8;311496.4;187156.4;0.0;34455.4;2724.0;65842.6000012
9;139290.2;207956.80000000002;139882.8;0.0;23927.4;0.0;35011.5999997
10;217805.8;320578.0;143006.8;0.0;12973.199999999999;2953.0;49295.4000005
11;94772.6;377854.6;76551.2;0.0;1683.0;3003.0;25909.8
12;161460.59999999998;257903.19999999998;133699.4;0.0;20847.800000000003;9981.0;66274.99999908
13;118075.2;146332.40000000002;104528.8;0.0;3809.4;5318.0;26867.4
14;119282.6;284382.6;164640.8;0.0;23952.4;9807.0;31200.0
15;65322.2;159252.6;116786.4;0.0;14302.6;1799.0;12743.800000000001
16;48320.2;141436.6;115989.79999999999;0.0;6190.4;6761.0;3329.4
17;71027.6;241686.8;174505.2;0.0;13870.4;2197.0;4501.2
18;35623.0;160410.4;77910.6;0.0;3384.4;2785.0;552.0
19;36937.4;177508.8;135495.6;0.0;10441.0;5944.0;8018.0
20;123986.6;288934.0;184496.8;0.0;26232.8;7337.0;22835.39999664
21;49766.799999999996;205576.2;170351.6;0.0;19625.0;3711.0;6681.999999998
22;18620.0;116973.6;89913.6;0.0;4087.2000000000003;2604.0;0.0
23;67519.4;233842.6;150063.0;0.0;15997.0;12002.0;0.0
24;48038.399999999994;130758.8;104317.8;0.0;3736.0;1170.0;0.0
25;31838.6;121561.80000000002;89954.2;0.0;13110.2;10686.0;0.0
26;52784.2;161462.8;114066.0;0.0;9693.8;1967.0;0.0
27;6828.0;36840.2;27813.0;0.0;0.0;0.0;0.0
28;18252.4;41052.8;24879.4;0.0;2303.0;18760.0;0.0
