;p1;p10;p11;p12;p13;p14;p2;p3;p4;p5;p6;p7;p8;p9
1;12942.4;0.0;0.0;7995.799999267;7113.6;21443.600000000002;14072.2;7724.799999999999;11415.400000000001;0.0;3368.6;4318.200000000001;9126.0;7010.000000000001
2;17838.2;0.0;0.0;3939.5999999200003;7684.0;23527.0;23310.8;13054.8;18174.6;110.0;7311.4;8474.6;10519.4;10968.0
3;40034.0;0.0;0.0;2223.6000001;12765.2;38202.4;38496.2;28803.199999999997;22687.0;0.0;14395.4;17343.399999999998;24564.0;21217.6
4;22463.2;0.0;0.0;6703.40000008;6409.799999999999;15604.6;26697.4;10591.599999999999;21035.4;138.0;4907.6;9154.4;19812.6;5278.0
5;70897.2;0.0;0.0;2988.79999989;22941.8;47684.6;80647.79999999999;40082.8;49374.0;3671.0;15865.2;17877.800000000003;18075.2;22389.6
6;77878.0;0.0;0.0;17850.600000320002;15261.4;88489.6;95431.2;44620.200000000004;91247.2;9756.0;16481.0;29420.8;30975.0;11417.8
7;104656.4;0.0;0.0;19876.600001571;7769.4;96374.2;68921.4;57033.399999999994;51430.200000000004;713.0;16904.4;20065.4;15798.800000000001;21636.0
8;224159.2;0.0;35033.8;30808.8000012;22603.4;142401.4;108049.8;76046.8;79771.0;2724.0;13277.2;28569.6;47858.2;34455.4
9;124211.4;0.0;20599.0;14412.599999700002;20690.6;68882.6;93710.8;58410.8;62467.4;0.0;18196.0;19913.6;20646.6;23927.4
10;197907.8;0.0;36499.4;12796.0000005;11932.0;111557.0;102515.79999999999;100731.6;95737.4;2953.0;12552.0;13009.0;35448.0;12973.199999999999
11;86931.4;0.0;17450.4;8459.4;7120.0;132652.6;57884.0;142337.0;93003.2;3003.0;9861.8;6512.0;12876.4;1683.0
12;146328.2;0.0;39590.399999999994;26684.59999908;22184.0;81117.4;80564.6;51837.2;96607.59999999999;9981.0;28341.0;16503.4;29579.8;20847.800000000003
13;104358.6;0.0;16886.8;9980.6;13878.2;54682.0;68580.20000000001;31682.2;45960.600000000006;5318.0;14007.6;17875.8;17911.199999999997;3809.4
14;102957.0;0.0;22640.0;8560.0;8693.6;104738.6;118294.8;110083.59999999999;51028.8;9807.0;18531.6;26987.8;26990.2;23952.4
15;51616.8;0.0;12743.800000000001;0.0;11127.6;65284.0;74391.2;40518.2;45581.6;1799.0;7868.8;29143.2;15829.8;14302.6
16;33591.8;0.0;3329.4;0.0;15749.4;38029.2;71488.6;56920.8;42423.6;6761.0;4063.0;26265.399999999998;17214.8;6190.4
17;52703.8;0.0;4501.2;0.0;28806.800000000003;57912.4;87976.0;94970.6;72588.4;2197.0;16215.400000000001;56925.600000000006;19120.6;13870.4
18;32696.0;0.0;552.0;0.0;7939.0;36173.6;55037.6;53310.4;62943.0;2785.0;7983.4;14934.0;2927.0;3384.4
19;31395.4;0.0;8018.0;0.0;15666.4;42380.6;75380.0;77980.4;43251.4;5944.0;13896.4;38086.2;11905.0;10441.0
20;84764.2;0.0;0.0;22835.39999664;35227.2;93800.2;108653.6;81870.0;41936.799999999996;7337.0;71327.0;31678.6;48159.8;26232.8
21;44233.399999999994;0.0;0.0;6681.999999998;37036.0;62729.4;86886.0;61635.799999999996;60393.4;3711.0;20817.6;42139.200000000004;9823.8;19625.0
22;16373.4;0.0;0.0;0.0;18616.0;28109.2;52577.600000000006;37364.6;39439.2;2604.0;12060.6;13504.4;7462.200000000001;4087.2000000000003
23;49782.8;0.0;0.0;0.0;30731.2;67148.0;78689.2;67570.8;75545.0;12002.0;23578.8;29737.0;28642.199999999997;15997.0
24;41921.399999999994;0.0;0.0;0.0;5912.0;43492.6;85745.8;33537.2;49035.8;1170.0;4693.2;12660.0;6117.0;3736.0
25;26123.0;0.0;0.0;0.0;5975.0;39420.200000000004;68181.2;37975.4;33097.8;10686.0;11068.4;9039.4;12474.2;13110.2
26;41155.8;0.0;0.0;0.0;9844.8;49201.8;79229.2;48871.4;54032.4;1967.0;9357.2;12722.6;23897.8;9693.8
27;4985.0;0.0;0.0;0.0;2166.0;6605.200000000001;20026.0;15351.2;13113.0;0.0;1770.8;5621.0;1843.0;0.0
28;18252.4;0.0;0.0;0.0;0.0;13889.4;21221.6;11806.6;11651.6;18760.0;3705.2000000000003;3657.7999999999997;0.0;2303.0
