;p1;p2;p3;p4;p5;p6;p7
1;40458.8;0.0;26253.800000000003;24812.2;7995.799999267;0.0;7010.000000000001
2;60143.0;110.0;38913.4;30838.4;3939.5999999200003;0.0;10968.0
3;120437.6;0.0;64255.399999999994;52597.8;2223.6000001;0.0;21217.6
4;78127.6;138.0;38036.8;20512.2;6703.40000008;0.0;5278.0
5;187498.0;3671.0;112398.6;63549.8;2988.79999989;0.0;22389.6
6;233705.0;9756.0;151128.8;104970.6;17850.600000320002;0.0;11417.8
7;209442.0;713.0;116233.0;113278.6;19876.600001571;0.0;21636.0
8;408636.8;2724.0;178421.2;155678.6;65842.6000012;0.0;34455.4
9;258482.4;0.0;141568.8;87078.6;35011.5999997;0.0;23927.4
10;348880.6;2953.0;208401.0;124109.0;49295.4000005;0.0;12973.199999999999
11;164203.8;3003.0;242460.2;142514.4;25909.8;0.0;1683.0
12;272976.0;9981.0;170628.8;109458.4;66274.99999908;0.0;20847.800000000003
13;208725.8;5318.0;91521.0;68689.6;26867.4;0.0;3809.4
14;275229.8;9807.0;169806.0;123270.20000000001;31200.0;0.0;23952.4
15;170981.0;1799.0;97227.4;73152.8;12743.800000000001;0.0;14302.6
16;148560.6;6761.0;115093.79999999999;42092.2;3329.4;0.0;6190.4
17;216726.0;2197.0;196365.8;74127.8;4501.2;0.0;13870.4
18;105594.6;2785.0;124192.4;44157.0;552.0;0.0;3384.4
19;156766.6;5944.0;136898.2;56277.0;8018.0;0.0;10441.0
20;273256.2;7337.0;159034.0;165127.2;22835.39999664;0.0;26232.8
21;183082.4;3711.0;159065.2;83547.0;6681.999999998;0.0;19625.0
22;89917.6;2604.0;95419.79999999999;40169.8;0.0;0.0;4087.2000000000003
23;186851.2;12002.0;173847.0;90726.8;0.0;0.0;15997.0
24;146444.2;1170.0;88485.0;48185.799999999996;0.0;0.0;3736.0
25;115817.79999999999;10686.0;77048.20000000001;50488.600000000006;0.0;0.0;13110.2
26;157005.4;1967.0;112748.6;58559.0;0.0;0.0;9693.8
27;32475.0;0.0;30630.2;8376.0;0.0;0.0;0.0
28;43131.8;18760.0;23458.2;17594.6;0.0;0.0;2303.0
