Distrito;AH;AMARILLOS;DEMOCRATAS;EVOPOLI;FA;FREVS;IGUALDAD;IND - AH;IND - AMARILLOS;IND - CANDIDATURAS INDEPENDIENTES;IND - DEMOCRATAS;IND - EVOPOLI;IND - FA;IND - FREVS/PL;IND - PAVP;IND - PCCH;IND - PDC;IND - PDG;IND - PH;IND - POPULAR/PH/IGUALDAD;IND - PPD;IND - PR;IND - PS;IND - PSC;IND - PTR;IND - REPUBLICANO;IND - RN;IND - UDI;PAVP;PCCH;PDC;PDG;PH;PL;POPULAR;PPD;PR;PS;PSC;PTR;REPUBLICANO;RN;UDI;Votos Blancos;Votos Nulos
1;1133;0;1369;371;1804;2552;0;2370;0;0;7470;0;2124;4315;0;41;3876;2233;0;2640;1640;1564;3202;3023;0;139;3206;2965;0;6832;2631;5351;5099;3135;742;955;3058;3638;796;0;21177;8733;4924;14316;22384
2;3068;0;1822;267;5730;4437;0;3364;0;0;7146;1516;2072;6252;0;0;4624;2719;0;2834;2976;6987;2405;3320;0;1265;3350;8401;0;5223;7335;8999;428;1037;1247;4301;2945;3391;4716;0;22821;15226;4974;21452;29208
3;2710;0;6637;9734;15210;15987;853;2232;0;0;7553;4612;263;8728;0;4122;6545;5845;0;233;3959;7964;2491;5379;0;7750;11504;3063;0;16093;11551;16665;762;1220;416;4234;10966;12866;10205;0;32387;13744;12701;45310;68013
4;0;1376;1351;0;4702;14278;1825;0;3792;0;985;0;3591;7015;0;3947;269;0;0;4215;7043;7547;3445;1221;0;2333;10468;6340;0;11494;3575;5121;0;0;1330;1532;3184;13141;3893;0;13579;12486;5434;19945;26518
5;2462;3566;8958;3122;17974;5503;0;2801;4291;0;8659;4391;10932;15886;0;11559;17705;8061;0;3806;8235;11331;17237;7560;0;6697;13810;11427;0;31566;18049;16059;0;0;0;9180;9049;18049;9946;0;42245;38281;24242;65290;78277
6;0;2355;5856;1374;26159;6518;0;0;4558;0;4113;2506;12191;30293;0;6593;14627;2053;0;15678;13168;19916;3145;12138;0;8009;41806;32664;0;37029;21469;9618;0;27;5291;16925;13328;32376;6711;0;82540;58235;14570;66379;98823
7;0;1515;3950;5886;51867;1282;0;0;1415;0;1432;6327;15317;17304;0;10271;8150;0;0;15026;4941;13455;7061;10959;0;4498;24089;24140;0;31253;22817;22134;0;722;7959;14297;9390;15661;7946;0;91542;32107;26526;65107;105806
8;5601;0;19694;15744;139260;16041;0;0;0;0;3186;693;8790;9651;12801;1953;630;6307;0;13191;5292;23085;0;11260;0;42539;25311;12911;24729;72897;42209;30224;20517;24163;0;20375;10488;40802;4273;0;106756;59225;48939;94667;144372
9;3833;0;17041;10411;44055;12730;0;0;0;0;4388;1053;10238;5707;13852;1901;3877;4083;0;2979;729;20929;2543;11599;0;14579;22391;11829;9607;67543;19390;20885;12119;3236;0;31355;3089;37806;8995;0;57415;44480;38703;69493;114572
10;7620;0;12001;26597;99025;19197;0;853;0;0;0;2929;1166;1127;7996;0;1023;4020;0;8148;3056;9012;809;11567;0;28493;12031;1080;30029;89328;34038;9911;6420;15009;0;18465;5750;46340;3105;0;86986;86128;70014;66907;103292
11;15148;0;7061;51454;50914;7398;0;512;0;0;0;6054;0;583;810;0;0;0;0;5216;1763;4122;0;11191;0;39215;22010;0;16880;19134;21199;1791;4000;4816;0;14238;3214;21153;879;0;101750;75440;84049;45893;59885
12;10850;0;15389;13668;48597;13200;0;2082;0;0;8628;2975;7100;4237;22663;12867;0;8130;0;11370;1570;13283;747;22797;0;16494;33528;447;22112;69357;22160;13978;17977;12635;0;20892;6375;35778;10107;0;68016;69419;35154;81710;125319
13;6437;0;12404;3986;43056;12740;0;0;0;0;1815;6024;3662;2387;4092;550;376;1007;0;6735;2922;10766;7102;12428;0;11490;5477;2841;13419;51170;16386;3099;4601;3232;0;8755;9447;35250;3991;0;44899;41830;20499;48791;73252
14;3375;0;8108;7606;54001;14354;0;303;0;0;725;10471;3607;4688;16537;6223;3410;5399;0;0;6675;25248;71;14509;0;32139;17626;23105;9627;38289;27241;19734;8304;8649;0;16768;6706;65407;7120;0;79022;36780;74787;72625;97259
15;0;1629;7904;2152;26317;11683;0;0;0;0;1801;0;2751;5222;7099;1723;1370;4790;0;0;9108;28684;888;2872;0;29279;23337;6752;7031;22061;18782;10283;0;0;0;17927;6081;29121;5608;0;42373;27280;33127;39787;64996
16;0;2496;11464;3570;17661;11976;0;0;0;0;2177;3507;2671;6280;2933;294;888;953;0;0;614;26951;3214;1617;0;22054;18223;3761;890;13736;26718;5359;0;0;0;8819;4393;32005;2680;0;20097;27722;47669;31505;32740
17;3478;5267;18286;24461;21530;17552;0;763;2112;0;4578;3308;4265;1972;4232;5287;1262;9472;0;0;1794;46686;2476;10494;0;27557;31844;2126;988;19541;39586;6213;0;0;0;16109;19114;27495;7855;0;36021;48364;67609;55812;74204
18;0;2009;3609;4820;18008;2885;0;0;0;0;3217;0;0;0;737;2862;0;268;0;0;8199;13588;4885;7003;0;19352;20466;14639;0;12727;18230;3130;0;0;0;15435;4143;10726;2360;0;20430;46451;37137;23418;29105
19;0;5570;5864;11683;13657;4171;0;0;1158;0;4269;0;0;3194;6471;895;9034;3193;0;0;2047;32499;2358;5436;0;7348;24846;2036;2701;17352;15271;7941;0;5069;0;18609;12018;30445;9460;0;36530;22936;65800;39381;44561
20;0;7199;19639;17785;38166;37900;21410;0;3503;0;7216;834;3948;6793;0;1597;2440;6856;0;1393;1799;31910;2922;35959;0;24090;18981;7835;0;40501;45576;20707;0;6153;0;20227;5857;37192;43372;0;75326;26191;57716;66878;108455
21;0;905;31572;4237;15622;5651;5755;0;2087;0;3490;3526;4571;179;0;561;3624;7862;0;1300;1568;33715;6344;11592;0;25266;22995;8590;0;24127;39246;13306;0;4320;0;13025;15351;25594;11628;0;43677;42617;47981;47112;54311
22;0;5851;11454;7969;11418;2133;0;0;0;0;1251;8549;2217;230;0;0;4278;2698;0;0;4222;11294;0;12921;0;22000;21760;2806;0;3041;14430;1982;0;5078;0;18890;4376;12446;1418;0;10235;21879;19620;24725;25565
