;AH;AMARILLOS;DEMOCRATAS;EVOPOLI;FA;FREVS;IGUALDAD;IND;PAVP;PCCH;PDC;PDG;PH;PL;POPULAR;PPD;PR;PS;PSC;PTR;REPUBLICANO;RN;UDI
1;2950.6;0.0;7113.6;392.0;3362.0;4323.0;734.9333333333334;0.0;0.0;6629.8;5682.800000000001;7010.000000000001;5816.933333333333;4803.0;1443.9333333333336;2188.4;4318.200000000001;6201.0;3368.6000000000004;0.0;21443.600000000002;11415.400000000001;7332.799999999999
2;5603.4;0.0;7684.0;1468.4;7033.800000000001;6895.2;745.8666666666668;110.0;0.0;5201.0;11238.8;10968.0;1177.8666666666668;3624.2;2015.8666666666668;6710.4;8474.6;5361.599999999999;7311.4;0.0;23527.0;18174.6;11586.400000000001
3;4435.4;0.0;12765.2;13565.4;15573.0;19841.0;894.8666666666667;0.0;0.0;20025.6;16435.6;21217.6;826.8666666666667;4723.0;501.8666666666667;7451.6;17343.399999999998;14609.0;14395.4;0.0;38202.4;22687.0;15237.8
4;0.0;4284.200000000001;2125.6;0.0;7671.8;17007.8;3006.1333333333337;138.0;0.0;14791.400000000001;3845.6;5278.0;1174.1333333333334;2804.8;2523.133333333334;7154.200000000001;9154.400000000001;15697.6;4907.6;0.0;15604.6;21035.4;10591.6
5;4751.8;7156.0;15785.8;6762.200000000001;26020.8;11687.6;996.2666666666668;3671.0;0.0;40124.6;32948.200000000004;22389.600000000002;996.2666666666668;6387.6;996.2666666666668;15866.8;17877.800000000003;31832.8;15865.2;0.0;47684.6;49374.0;33320.600000000006
6;0.0;6079.400000000001;9182.0;3419.8;36224.2;18766.0;4168.533333333334;9756.0;0.0;41653.8;33514.4;11417.8;4168.533333333334;12209.0;9513.533333333333;27251.8;29420.8;34665.0;16481.0;0.0;88489.6;91247.2;41200.4
7;0.0;2729.2000000000003;5040.2;11029.2;64846.4;8146.400000000001;3952.5333333333338;713.0;0.0;39810.0;29302.600000000002;21636.0;3952.5333333333338;7652.400000000001;11971.533333333333;18179.6;20065.4;21439.2;16904.4;0.0;96374.2;51430.200000000004;46004.2
8;5537.0;0.0;22603.4;16513.8;143612.0;19924.600000000002;3557.6000000000004;2724.0;35033.8;75010.2;41503.6;34455.4;23693.6;27933.6;3557.6000000000004;25415.2;28569.600000000002;41131.0;13277.2;0.0;142401.4;79771.0;59533.0
9;3792.0;0.0;20690.6;11238.8;51478.4;15078.8;803.2;0.0;20599.0;68941.0;22448.8;23927.4;12806.2;5567.8;803.2;31670.0;19913.6;39592.0;18196.0;0.0;68882.6;62467.4;47172.0
10;8258.4;0.0;11932.0;29506.800000000003;98462.4;19898.0;2181.3333333333335;2953.0;36499.4;91187.0;34344.6;12973.199999999999;8433.333333333334;15550.0;2181.3333333333335;20809.6;13009.0;47361.6;12552.0;0.0;111557.0;95737.4;71224.8
11;15458.4;0.0;7120.0;57453.0;52037.0;7841.2;1528.8000000000002;3003.0;17450.4;19436.0;21225.0;1683.0;5401.8;5035.2;1528.8000000000002;15321.0;6512.0;21338.0;9861.800000000001;0.0;132652.6;93003.2;84884.0
12;12555.2;0.0;22184.0;16375.6;52251.6;15132.4;3033.866666666667;9981.0;39590.4;81521.4;21822.0;20847.800000000003;20616.866666666665;14447.4;3033.866666666667;21512.6;16503.4;37230.0;28341.0;0.0;81117.4;96607.59999999999;35461.6
13;6641.0;0.0;13878.2;8857.2;45709.4;13716.599999999999;1783.2;5318.0;16886.8;52008.2;16747.4;3809.4;6414.2;4194.6;1783.2;11040.4;17875.8;40792.4;14007.6;0.0;54682.0;45960.600000000006;22825.0
14;3523.8;0.0;8693.6;16065.4;56250.2;16325.6;0.0;9807.0;22640.0;43183.0;29953.4;23952.4;8560.0;10664.6;0.0;22334.2;26987.800000000003;66007.2;18531.6;0.0;104738.6;51028.8;94018.2
15;0.0;1666.0;9461.6;2052.0;28166.4;13705.4;0.0;1799.0;12743.800000000001;23450.399999999998;19764.2;14302.6;0.0;2124.4;0.0;24921.8;29143.2;29705.199999999997;7868.8;0.0;65284.0;45581.6;38466.2
16;0.0;2510.0;13239.4;6396.8;19812.0;14728.4;0.0;6761.0;3329.4;13779.8;27622.2;6190.4;0.0;2486.4;0.0;9367.8;26265.4;34498.6;4063.0;0.0;38029.2;42423.6;50524.0
17;4106.4;7054.4;21752.4;26391.6;25018.0;18323.8;0.0;2197.0;4501.200000000001;23579.399999999998;40916.8;13870.4;0.0;796.8000000000001;0.0;17190.0;56925.600000000006;29869.2;16215.400000000001;0.0;57912.4;72588.4;68579.0
18;0.0;1940.0;5999.0;4788.0;17617.0;2927.0;0.0;2785.0;552.0;15079.0;18276.0;3384.4;0.0;0.0;0.0;22251.2;14934.0;14510.4;7983.4;0.0;36173.6;62943.0;48522.4
19;0.0;6408.4;9258.0;11528.0;13283.0;5542.0;0.0;5944.0;8018.0;18112.4;22512.6;10441.0;0.0;6363.0;0.0;20278.4;38086.200000000004;32589.0;13896.4;0.0;42380.6;43251.4;66452.4
20;0.0;10073.0;25154.2;18405.4;42324.6;39222.4;22049.8;7337.0;0.0;42439.6;47702.8;26232.8;392.8;8937.4;392.8;22085.0;31678.600000000002;38865.8;71327.0;0.0;93800.2;41936.799999999996;63464.6
21;0.0;2527.8;34508.2;7019.0;19307.8;5533.4;5996.666666666667;3711.0;0.0;24925.6;42109.4;19625.0;342.6666666666667;4290.4;342.6666666666667;14299.6;42139.200000000004;30477.0;20817.600000000002;0.0;62729.4;60393.4;54616.799999999996
22;0.0;5987.0;12629.0;14986.6;13218.4;2246.6;0.0;2604.0;0.0;3155.0;18018.2;4087.2000000000003;0.0;5215.6;0.0;22004.4;13504.4;12555.0;12060.6;0.0;28109.2;39439.2;22378.0
23;0.0;17069.0;13662.2;13509.4;33615.8;17736.6;0.0;12002.0;0.0;16167.0;25611.2;15997.0;0.0;10905.6;0.0;29238.0;29737.0;23840.0;23578.8;0.0;67148.0;75545.0;54061.4
24;0.0;5912.0;0.0;8270.0;26936.399999999998;6117.0;0.0;1170.0;0.0;14985.0;22654.8;3736.0;0.0;0.0;0.0;29496.2;12660.0;33594.8;4693.200000000001;0.0;43492.6;49035.8;25267.2
25;0.0;5975.0;0.0;4542.599999999999;18255.0;5715.6;0.0;10686.0;0.0;7868.0;31657.0;13110.2;0.0;6758.599999999999;0.0;10414.0;9039.4;26110.199999999997;11068.400000000001;0.0;39420.200000000004;33097.8;33432.8
26;0.0;9844.8;0.0;3773.4;27779.6;11628.4;0.0;1967.0;0.0;13376.2;25449.0;9693.800000000001;0.0;12269.4;0.0;16819.0;12722.6;36961.2;9357.2;0.0;49201.8;54032.4;45098.0
27;0.0;0.0;2166.0;1882.0;0.0;1843.0;0.0;0.0;0.0;4985.0;7767.8;0.0;0.0;0.0;0.0;5025.6;5621.0;7232.6;1770.8000000000002;0.0;6605.200000000001;13113.0;13469.2
28;0.0;0.0;0.0;4611.0;10199.0;0.0;0.0;18760.0;0.0;8053.4;6369.6;2303.0;0.0;0.0;0.0;3644.2000000000003;3657.8;11207.8;3705.2000000000003;0.0;13889.4;11651.6;7195.6
