;p1;p2;p3;p4;p5;p6;p7;p8
1;41001.6;0.0;19229.8;25040.2;7740.200000000001;7467.8;0.0;6958.4
2;61364.0;107.0;30797.6;30587.2;3855.6;7697.400000000001;0.0;11327.0
3;125949.0;0.0;53174.2;53061.0;2227.0;12543.0;0.0;20848.0
4;78260.4;140.0;31896.4;20305.399999999998;6683.6;6502.0;0.0;5228.0
5;194606.0;3570.0;107583.4;62236.8;2884.0;23834.0;0.0;22082.2
6;244203.80000000002;9837.0;134799.40000000002;112102.0;17813.199999999997;15261.8;0.0;11090.6
7;222148.0;722.0;112296.0;118981.0;19746.6;7618.799999999999;0.0;21175.0
8;431515.2;2735.0;160708.19999999998;165698.4;65333.8;22780.4;0.0;34355.6
9;267659.6;0.0;125465.8;91758.2;35334.2;21628.800000000003;0.0;23686.2
10;414941.4;2827.0;197764.2;122995.6;49038.0;11710.0;0.0;12841.800000000001
11;162964.0;3006.0;233636.59999999998;141913.2;25312.0;7113.0;0.0;1630.0
12;276174.0;9897.0;157087.8;110336.4;76577.2;22421.4;0.0;19992.8
13;216721.6;5318.0;83266.2;68622.8;26890.399999999998;13838.6;0.0;3827.4
14;274369.4;9978.0;159655.59999999998;122670.79999999999;30806.2;8486.2;0.0;23638.8
15;186992.80000000002;1760.0;91943.4;72385.6;12856.0;11022.8;0.0;14075.4
16;151621.6;6716.0;106647.40000000001;41222.2;3295.6;15905.0;0.0;6123.0
17;215158.4;2275.0;167321.59999999998;74193.8;4503.0;29125.6;0.0;13855.4
18;105285.4;2700.0;115883.6;44012.4;590.4;8064.0;0.0;3329.4
19;156646.8;5843.0;122143.2;55851.6;8051.799999999999;15795.400000000001;0.0;10319.8
20;273067.6;7299.0;123901.0;166183.8;23173.2;35427.0;0.0;26267.4
21;184634.2;3643.0;131582.0;89995.6;6799.6;39486.8;0.0;19605.2
22;89770.0;2607.0;77043.4;39823.6;0.0;18176.800000000003;0.0;4099.2
23;191101.0;12107.0;153616.6;96205.4;0.0;32168.2;0.0;16586.2
24;167050.0;1194.0;84131.2;47262.799999999996;0.0;5656.0;0.0;3643.0
25;116351.4;10583.0;71613.20000000001;50408.2;0.0;5909.0;0.0;13178.0
26;160748.4;1957.0;110812.20000000001;59168.200000000004;0.0;9916.2;0.0;10158.8
27;32439.6;0.0;28029.4;8340.6;0.0;2184.0;0.0;0.0
28;42850.6;19584.0;23384.6;16980.6;0.0;0.0;0.0;2300.0
