;Comuna;AH;AMARILLOS;DEMOCRATAS;EVOPOLI;FA;FREVS;IGUALDAD;IND - CANDIDATURAS INDEPENDIENTES;PAVP;PCCH;PDC;PDG;PH;PL;POPULAR;PPD;PR;PS;PSC;PTR;REPUBLICANO;RN;UDI;Votos Blancos;Votos Nulos
0;CURACAVI;142.4;0.0;173.60000000000002;356.8;1966.6;480.0;0.0;0;210.0;993.6;719.2;0.0;0.0;222.0;0.0;2019.0;472.8;1041.0;280.8;0.0;2822.0;3710.0;2970.0;2304;2655
1;PUERTO MONTT;0.0;5954.0;0.0;2595.8;16237.2;4504.4;0.0;0;0.0;5172.0;6989.0;7598.200000000001;0.0;7375.4;0.0;7016.0;3296.8;12666.2;5339.8;0.0;25515.8;25872.6;35776.8;21999;28865
2;PROVIDENCIA;562.0;0.0;986.0;10933.0;44253.0;1003.0;0.0;0;4485.0;9238.0;4393.0;1680.2;0.0;1531.0;0.0;6513.8;0.0;5906.0;2422.6;0.0;16055.0;13094.0;26474.0;7473;9510
3;LA ESTRELLA;0.0;0.0;0.0;174.0;190.0;24.0;0.0;0;0.0;121.0;206.4;38.400000000000006;0.0;24.0;0.0;129.0;672.8000000000001;40.0;0.0;0.0;95.8;513.2;1582.0;278;253
4;QUINTA NORMAL;375.0;0.0;1257.0;3526.0;7554.0;1069.0;162.4;0;3068.4;5952.0;3333.8;1642.0;780.4;681.0;162.4;2295.0;3719.0;12118.4;1028.0;0.0;12052.2;9489.0;8156.0;7646;14207
5;TALCA;1796.2;2838.0;4389.8;12278.2;6580.0;4629.0;0.0;0;1896.8000000000002;12714.0;7913.2;5677.8;0.0;0.0;0.0;2400.2;6983.2;7775.6;6001.6;0.0;18388.8;28481.0;9626.0;17457;26679
6;CUNCO;0.0;0.0;1373.4;244.4;966.2;458.0;0.0;0;0.0;464.0;735.2;262.0;0.0;24.0;0.0;838.0;1465.2;434.0;122.4;0.0;2578.0;3065.4;1934.4;1807;1618
7;MEJILLONES;59.6;0.0;97.60000000000001;60.400000000000006;198.0;212.0;0.0;0;0.0;734.8;608.6;185.0;253.0;165.0;0.0;1154.0;91.4;398.2;161.6;0.0;542.6;985.6;92.8;930;1143
8;TENO;356.0;132.8;755.2;1481.2;305.6;1493.2;0.0;0;0.0;406.6;3533.0;0.0;0.0;43.2;0.0;722.0;3625.8;340.8;249.2;0.0;4635.200000000001;2568.0;2778.0;2323;2651
9;QUINCHAO;0.0;0.0;0.0;0.0;608.0;161.8;0.0;0;0.0;132.6;1416.0;0.0;0.0;16.8;0.0;521.0;0.0;601.4;71.0;0.0;825.0;1403.8000000000002;1166.2;888;456
